symbol,price,price_change,price_percent_change
AREB,19.5,15.54,392.42
AEHL,4.25,2.15,102.38
LOCL,4.5,1.68,59.57
SOBR,4.87,1.4,40.31
FORD,6.8,1.88,38.21
ICCT,5.71,1.48,34.99
NTCL,9.31,2.31,33.0
RGC,32.21,7.91,32.55
NTHI,12.56,2.98,31.11
PAMT,13.58,2.47,22.23
AUUD,4.9,0.89,22.19
INV,4.82,0.85,21.41
UPC,3.45,0.57,19.79
ALMS,10.05,1.51,17.68
USAR,7.55,1.05,16.15
LGHL,3.65,0.5,15.87
CISS,3.97,0.51,14.57
VSCO,16.95,2.08,13.99
BCTX,3.94,0.44,12.57
EPSM,5.92,0.65,12.33
NTRP,5.96,0.64,12.03
HOV,105.63,11.26,11.93
RIME,2.5,0.27,11.83
NVAX,6.24,0.64,11.43
RKT,15.43,1.58,11.41
GME,23.46,2.36,11.18
CSAI,4.93,0.48,10.79
WTF,6.46,0.6,10.24
ARHS,7.75,0.69,9.77
GES,10.98,0.94,9.36
ZSPC,8.79,0.75,9.33
BZAI,2.23,0.19,9.31
ELTX,6.01,0.51,9.27
FHTX,3.44,0.29,9.21
DERM,7.19,0.6,9.1
SVV,7.72,0.61,8.58
LSEA,6.25,0.48,8.32
KSS,7.17,0.53,7.98
SLP,25.68,1.86,7.83
GAP,19.22,1.38,7.74
AUID,5.09,0.36,7.61
FLX,2.69,0.19,7.6
CSTE,2.56,0.18,7.56
SKBL,12.89,0.89,7.42
CPSS,9.4,0.64,7.31
MKTW,9.88,0.65,7.04
BZH,20.35,1.33,6.99
MTEN,4.02,0.26,6.91
BLD,303.28,19.06,6.71
LXEH,24.05,1.51,6.7
MAMA,6.81,0.42,6.57
GAUZ,8.3,0.5,6.41
PHH,13.59,0.81,6.34
FLWS,5.6,0.33,6.26
RUN,6.99,0.4,6.07
AEHR,7.26,0.41,6.06
NX,17.61,0.99,5.96
LCUT,4.68,0.26,5.88
WWW,11.77,0.65,5.85
TISI,19.2,1.05,5.79
IBP,173.07,9.28,5.67
LGIH,64.61,3.43,5.61
RAPP,8.99,0.47,5.52
MNRO,15.27,0.79,5.46
BJDX,3.42,0.17,5.23
ONON,39.6,1.95,5.17
ODP,13.87,0.68,5.16
DECK,106.01,5.13,5.09
CLIK,2.77,0.13,4.92
CROX,100.65,4.68,4.88
SDHC,19.57,0.9,4.82
HVT,18.74,0.86,4.81
AEO,10.94,0.5,4.79
TFII,79.45,3.6,4.75
MHO,114.26,5.16,4.73
JBI,6.9,0.31,4.7
CRI,37.21,1.64,4.61
DFH,22.29,0.98,4.6
ANF,73.49,3.23,4.6
HPAI,6.63,0.29,4.57
CCS,65.75,2.82,4.48
DHI,127.74,5.43,4.44
EVEX,3.33,0.14,4.39
TDUP,2.63,0.11,4.37
OXM,57.15,2.32,4.23
VRA,2.13,0.09,4.15
ISPR,2.8,0.11,4.09
MODG,6.26,0.24,4.07
INHD,5.39,0.21,4.05
NRC,12.4,0.48,4.03
MSTR,293.61,11.33,4.01
MTH,69.17,2.56,3.84
PLSE,15.08,0.55,3.79
TPH,31.82,1.16,3.78
W,26.02,0.94,3.73
AGL,4.14,0.14,3.62
CAL,16.08,0.56,3.61
EXPI,9.48,0.33,3.61
BLDR,124.12,4.3,3.59
SCVL,19.92,0.68,3.53
