symbol,price,price_change,price_percent_change
DATS,4.06,1.9,87.73
DM,4.22,1.95,85.68
MKFG,4.24,0.96,29.42
FUFU,5.68,1.22,27.35
FBRX,7.78,1.46,23.1
ROLR,3.58,0.63,21.36
ZYBT,7.01,1.21,20.86
WKHS,2.63,0.44,20.05
KBSX,2.69,0.43,19.03
MLGO,16.52,2.53,18.08
AVTX,8.96,1.33,17.39
HMR,3.48,0.41,13.36
ALMS,4.25,0.47,12.48
AISP,5.09,0.56,12.36
ECX,3.06,0.32,11.45
PRCH,7.6,0.74,10.78
SKYH,13.26,1.28,10.68
EDAP,2.4,0.23,10.6
TIPT,25.4,2.16,9.29
GATE,16.26,1.32,8.83
AENT,4.14,0.33,8.66
CHCI,9.99,0.72,7.77
EPAC,46.65,3.27,7.54
SAND,7.35,0.5,7.3
OPRX,9.64,0.65,7.17
XELB,4.12,0.27,7.1
NB,2.31,0.15,6.94
MBLY,16.32,1.06,6.94
MASK,3.61,0.23,6.8
AEVA,5.06,0.32,6.75
PHUN,3.28,0.2,6.68
ZENA,3.19,0.2,6.65
DJT,22.4,1.39,6.62
EGO,16.74,1.02,6.52
POET,4.41,0.26,6.22
CGTL,3.25,0.19,6.21
QNTM,5.89,0.34,6.11
SYTA,2.46,0.14,6.03
LWAY,25.36,1.39,5.8
IP,55.82,2.98,5.65
SPRU,2.62,0.14,5.64
SUPV,14.76,0.78,5.58
UAMY,2.35,0.12,5.43
TKC,6.2,0.32,5.35
SEAT,2.9,0.14,5.27
SEG,22.42,1.11,5.23
PUBM,10.41,0.51,5.15
LYFT,12.85,0.63,5.16
WGRX,4.15,0.2,5.06
IBO,3.78,0.18,5.01
BBD,2.33,0.11,4.95
CNR,78.38,3.65,4.88
NIPG,2.16,0.1,4.85
TITN,18.63,0.86,4.84
BMA,85.11,3.91,4.82
NGD,3.38,0.15,4.8
BRFS,3.5,0.16,4.79
LOMA,11.69,0.53,4.75
AXGN,19.0,0.85,4.68
BIYA,4.34,0.19,4.66
BIOX,4.28,0.19,4.65
CGAU,6.38,0.28,4.51
GPRK,8.09,0.34,4.39
EHLD,5.26,0.22,4.38
EXFY,3.5,0.14,4.33
KLXE,3.62,0.15,4.32
DQ,18.84,0.78,4.32
TRVI,6.67,0.27,4.22
ZJK,5.44,0.22,4.21
XIFR,9.77,0.39,4.16
UFG,5.36,0.21,4.08
BBAR,19.78,0.77,4.06
UGP,3.22,0.13,4.03
ETSY,47.69,1.83,3.99
EQX,7.04,0.27,3.99
VSAT,11.63,0.44,3.96
IBTA,43.3,1.65,3.96
RFIL,4.77,0.18,3.92
BOW,40.79,1.54,3.92
ACDC,8.07,0.3,3.86
GPRE,5.26,0.2,3.85
YPF,37.56,1.39,3.84
MUX,8.06,0.29,3.8
HYMC,3.54,0.13,3.76
SBS,17.86,0.65,3.75
PBR,14.49,0.52,3.72
FSM,6.16,0.22,3.7
NEXN,7.98,0.28,3.7
AUID,6.74,0.24,3.69
UPC,4.55,0.16,3.67
CSAN,5.52,0.2,3.66
INTR,5.82,0.2,3.65
SARO,29.79,1.05,3.65
NBR,44.71,1.57,3.64
BEEM,2.28,0.08,3.64
CRWD,386.1,13.46,3.61
CVNA,221.15,7.52,3.52
ITUB,5.79,0.2,3.58
NN,13.22,0.46,3.57
LSE,6.42,0.22,3.55
