symbol,price,price_change,price_percent_change
PVH,75.11,-1.32,1.73
CORZ,7.84,-0.16,2.00
AUOTY,5.05,0.44,9.54
FMCC,5.71,0.36,6.73
APP,275.31,-7.39,2.61
MSTR,297.15,-8.87,2.90
DOOO,35.64,-0.11,0.31
HIMS,29.13,-1.92,6.19
RDDT,105.75,-4.3,3.91
VIV,9.12,-0.01,0.10
EGO,17.57,-0.03,0.17
COOP,126.75,1.67,1.33
ALGM,25.74,-0.44,1.70
VCTR,59.04,-1.12,1.87
CRDO,40.04,-1.68,4.03
ESAB,119.69,-1.21,1.01
FNMAS,12.24,0.44,3.73
RL,225.33,-3.59,1.57
GDS,26.07,0.86,3.41
MNSO,19.64,0.49,2.56
ENVA,98.30,-1.62,1.62
RUSHB,57.77,-0.71,1.21
BAP,192.54,6.38,3.43
GEV,308.25,-7.39,2.34
NTES,106.00,-0.35,0.33
BOOT,111.00,3.57,3.32
PPC,56.02,-0.24,0.43
NE,23.98,-0.48,1.96
HNHPF,9.08,0.28,3.18
GFI,22.66,-0.1,0.44
