symbol,price,price_change,price_percent_change
SBFM,3.39,1.31,62.98
TTEC,4.13,0.86,26.3
CGNT,9.28,1.06,12.96
ANGO,10.76,1.1,11.39
WOOF,3.25,0.29,9.79
CRWV,57.21,4.64,8.83
QSG,7.1,0.52,7.9
CMPX,2.4,0.17,7.37
VNET,8.18,0.29,3.74
RKT,12.96,0.36,2.9
TERN,2.63,0.07,2.73
RDFN,9.71,0.14,1.46
MRVI,2.19,0.03,1.39
BILI,19.24,0.24,1.29
CERT,9.97,0.1,1.01
RCAT,6.41,0.02,0.31
KHC,30.43,0.09,0.3
CMRX,8.52,0.02,0.24
EXC,46.02,0.1,0.22
PEP,149.95,0.28,0.19
KDP,35.01,0.04,0.11
EZPW,15.52,0.0,0.03
GILD,111.2,-0.08,-0.07
MDLZ,67.57,-0.08,-0.12
CKPT,4.04,-0.01,-0.12
PFE,24.49,-0.05,-0.2
ARCC,22.24,-0.06,-0.25
MO,58.64,-0.15,-0.26
JD,41.21,-0.11,-0.27
WBA,11.13,-0.03,-0.27
CELH,35.6,-0.13,-0.36
SBUX,97.82,-0.41,-0.41
TMUS,267.33,-1.21,-0.45
UBER,72.63,-0.36,-0.49
WEN,14.64,-0.07,-0.51
JBLU,4.76,-0.03,-0.52
PCG,17.18,-0.1,-0.55
AGNC,9.44,-0.06,-0.58
VTRS,8.55,-0.05,-0.58
CSX,29.36,-0.18,-0.61
CMCSA,36.15,-0.24,-0.67
SIRI,21.81,-0.15,-0.68
RUN,6.44,-0.04,-0.69
CPRT,56.79,-0.42,-0.73
AAPL,221.4,-1.79,-0.8
DKNG,32.92,-0.27,-0.81
LYFT,12.12,-0.1,-0.86
INTC,21.86,-0.2,-0.88
IQ,2.21,-0.02,-0.9
NFLX,919.78,-8.6,-0.93
VOD,9.18,-0.09,-0.97
PSEC,4.02,-0.04,-0.99
OKTA,103.64,-1.05,-1.01
NWL,6.12,-0.07,-1.05
CSCO,61.13,-0.67,-1.08
PDD,120.83,-1.36,-1.11
VLY,8.79,-0.1,-1.12
CORZ,7.91,-0.09,-1.12
PYPL,65.35,-0.75,-1.13
APA,20.89,-0.24,-1.14
HST,14.28,-0.17,-1.14
AVGO,166.55,-1.97,-1.17
LCID,2.5,-0.03,-1.17
BKR,44.26,-0.54,-1.21
AMAT,143.89,-1.77,-1.22
HBAN,14.76,-0.19,-1.27
MSFT,377.33,-4.86,-1.27
QCOM,151.09,-1.96,-1.28
HSAI,17.2,-0.23,-1.29
GRAB,4.49,-0.06,-1.32
LUNR,7.37,-0.1,-1.34
AFRM,44.9,-0.61,-1.34
SABR,2.56,-0.04,-1.35
GOOG,156.74,-2.14,-1.35
GOOGL,154.88,-2.19,-1.4
BAC,40.91,-0.58,-1.4
EBAY,66.83,-0.97,-1.43
MDB,174.02,-2.6,-1.47
ERIC,7.68,-0.12,-1.48
CGNX,29.56,-0.45,-1.49
AMD,101.25,-1.53,-1.49
AAL,10.14,-0.15,-1.5
WBD,10.06,-0.15,-1.52
LRCX,71.72,-1.11,-1.53
RF,21.24,-0.34,-1.55
MRVL,61.62,-1.05,-1.68
IBRX,2.91,-0.05,-1.69
WULF,2.83,-0.05,-1.72
NCLH,18.73,-0.33,-1.73
CLSK,7.43,-0.13,-1.74
PANW,168.28,-3.03,-1.77
MU,87.14,-1.57,-1.77
META,575.11,-10.89,-1.86
HTZ,3.65,-0.07,-1.88
NBIS,22.26,-0.43,-1.9
MRNA,26.64,-0.52,-1.91
ASTS,21.43,-0.42,-1.92
DAL,41.6,-0.82,-1.93
IEP,8.88,-0.18,-2.04
AMZN,188.12,-4.04,-2.1
