symbol,price,price_change,price_percent_change
GT,9.79,-0.4,3.93
LW,59.04,-0.53,0.88
DANOY,16.09,0.86,5.65
MP,26.24,1.42,5.70
KR,70.51,-0.22,0.32
XIACF,5.95,0.28,4.94
AMT,232.41,4.22,1.85
SSEZY,21.80,0.98,4.71
ORANY,13.60,0.59,4.53
SBS,17.93,-0.76,4.07
FCFS,125.26,-2.05,1.61
PPC,50.01,-1.05,2.06
CSAN,5.20,-0.34,6.05
ELP,7.41,-0.3,3.90
TU,14.44,-0.1,0.69
BCE,22.75,0.09,0.40
XIACY,29.42,1.07,3.77
FMS,24.73,-0.93,3.62
ALHC,18.08,-0.43,2.32
GSK,37.90,-1.11,2.85
TIMB,15.84,-0.49,3.01
MCK,714.53,-2.4,0.33
TIGO,29.85,-0.65,2.13
KT,17.61,-0.26,1.45
CCI,108.53,1.47,1.37
RCI,26.59,0.52,2.02
TBBB,27.24,-0.84,2.99
DUK,124.68,0.63,0.51
