symbol,price,price_change,price_percent_change
RKT,15.43,1.58,11.44
GME,23.46,2.36,11.18
GAP,19.22,1.38,7.74
BLD,303.77,19.55,6.88
IBP,172.97,9.18,5.60
ONON,39.59,1.94,5.15
DECK,106.02,5.14,5.10
CROX,100.65,4.68,4.88
AEO,10.94,0.5,4.79
MHO,114.26,5.16,4.73
TFII,79.44,3.59,4.73
ANF,73.48,3.22,4.58
DFH,22.29,0.98,4.60
DHI,127.74,5.43,4.44
CCS,65.74,2.81,4.47
NVR,7,292.76,4.12
MTH,69.22,2.61,3.92
TPH,31.82,1.16,3.78
MSTR,293.61,11.33,4.01
W,26.01,0.92,3.67
PHM,101.19,3.44,3.52
BLDR,124.12,4.3,3.59
KBH,57.56,1.95,3.51
GRBK,57.83,1.94,3.47
PCVX,31.60,1.04,3.40
PVH,67.72,2.11,3.22
LULU,263.70,8.05,3.15
TMHC,59.44,1.85,3.21
URBN,46.61,1.37,3.03
NKE,57.26,1.68,3.02
