symbol,price,price_change,price_percent_change
WHLR,3.19,0.82,34.6
ELAB,5.35,1.36,34.09
ICCT,4.75,1.06,28.73
REE,3.11,0.32,11.27
GDS,21.21,1.78,9.16
DXCM,72.92,6.08,9.1
NIO,3.42,0.12,3.47
LI,21.84,0.69,3.29
RAY,2.28,0.07,3.09
JD,36.09,1.01,2.89
TCOM,56.15,1.36,2.48
SONY,23.49,0.52,2.26
BILI,16.17,0.29,1.8
DJT,20.58,0.31,1.53
BIDU,81.82,1.23,1.53
T,26.43,0.24,0.91
VZ,42.52,0.31,0.73
BTG,2.92,0.02,0.69
MDLZ,66.6,0.41,0.62
TMUS,255.78,0.89,0.35
VNET,5.92,0.02,0.34
PEP,146.05,0.46,0.32
KDP,34.76,0.07,0.2
EXC,44.34,0.04,0.09
KHC,29.12,0.03,0.09
VALE,8.86,0.01,0.06
LCID,2.55,0.0,0.05
ENGN,4.03,0.0,0.0
SMMT,18.21,-0.02,-0.11
WMT,89.44,-0.15,-0.17
CELH,37.17,-0.08,-0.21
PDD,93.89,-0.26,-0.28
PDCO,31.1,-0.12,-0.38
GILD,104.8,-0.46,-0.43
CSCO,57.78,-0.35,-0.6
EBAY,61.57,-0.39,-0.63
LYG,3.58,-0.03,-0.69
VOD,8.52,-0.06,-0.7
ERIC,7.17,-0.06,-0.83
NOK,4.88,-0.04,-0.91
ASTS,23.91,-0.23,-0.95
CMCSA,34.82,-0.36,-1.04
GOOGL,156.87,-1.84,-1.16
YMM,10.38,-0.13,-1.19
GOOG,159.12,-1.94,-1.2
NFLX,933.98,-11.48,-1.21
SLDB,2.7,-0.04,-1.31
FAST,75.46,-1.01,-1.33
WDC,35.81,-0.49,-1.35
WBA,10.63,-0.15,-1.39
CSX,28.26,-0.41,-1.41
AZN,65.77,-0.99,-1.48
META,576.92,-8.85,-1.51
NDAQ,70.9,-1.09,-1.51
TSCO,50.59,-0.79,-1.54
ABSI,2.54,-0.04,-1.55
GEHC,63.97,-1.01,-1.55
NEOG,4.94,-0.08,-1.59
PFE,22.13,-0.36,-1.61
ARCC,20.52,-0.34,-1.63
NWG,11.34,-0.2,-1.69
RXRX,4.57,-0.08,-1.72
CRWD,371.48,-6.53,-1.73
CHX,24.91,-0.44,-1.74
BB,3.23,-0.06,-1.82
RIVN,11.55,-0.22,-1.87
LYFT,11.12,-0.22,-1.94
FITB,35.12,-0.69,-1.94
GOGL,6.91,-0.14,-1.99
TROW,88.3,-1.86,-2.07
BBD,2.12,-0.04,-2.08
IBRX,2.54,-0.06,-2.12
APP,269.0,-5.96,-2.17
FTNT,97.76,-2.17,-2.18
MSFT,381.6,-8.88,-2.28
IREN,5.76,-0.14,-2.29
AGNC,8.7,-0.2,-2.3
NU,10.66,-0.26,-2.38
PANW,168.9,-4.12,-2.38
TEM,42.74,-1.05,-2.41
LAES,2.6,-0.07,-2.43
RELY,19.84,-0.52,-2.53
HST,13.86,-0.36,-2.53
DDOG,94.96,-2.48,-2.55
DKNG,34.92,-0.92,-2.58
PYPL,62.22,-1.73,-2.71
TTD,52.65,-1.47,-2.72
BAC,36.14,-1.01,-2.72
CLSK,7.42,-0.21,-2.75
ZM,69.82,-2.0,-2.79
SBUX,86.2,-2.48,-2.8
SNAP,8.55,-0.27,-3.06
AMZN,185.41,-5.69,-2.98
ABNB,117.54,-3.79,-3.12
HBAN,13.28,-0.43,-3.14
UPST,41.77,-1.37,-3.18
PLTR,89.02,-2.98,-3.24
CIFR,2.38,-0.08,-3.25
ACHR,7.18,-0.25,-3.33
VTRS,7.53,-0.26,-3.34
