symbol,price,price_change,price_percent_change
MLGO,16.93,2.94,21.05
EPAC,46.64,3.26,7.51
SAND,7.34,0.49,7.15
MBLY,16.35,1.09,7.14
FNMA,7.57,0.47,6.62
EGO,16.75,1.04,6.59
FMCC,6.34,0.39,6.57
DJT,22.24,1.23,5.83
IP,55.70,2.87,5.43
DJTWW,13.84,0.71,5.41
BMA,85.59,4.39,5.41
TKC,6.20,0.31,5.18
BAYRY,6.34,0.29,4.79
BBAR,19.88,0.87,4.58
ZIJMY,47.53,1.93,4.23
EQX,7.03,0.26,3.91
CVNA,222.37,8.74,4.09
YPF,37.65,1.48,4.08
JBAXY,14.68,0.57,4.04
SARO,29.88,1.14,3.97
ETSY,47.62,1.76,3.83
SBS,17.87,0.65,3.77
CSAN,5.53,0.2,3.75
PBR,14.50,0.53,3.79
CRWD,386.33,13.69,3.67
ITUB,5.79,0.2,3.58
INTR,5.81,0.2,3.57
LBRT,15.62,0.52,3.48
CAAP,19.04,0.64,3.48
TEO,10.85,0.36,3.44
FCX,43.01,1.4,3.35
SOMMY,12.33,0.4,3.35
TTD,61.30,1.96,3.30
STNE,11.70,0.39,3.40
CLF,9.57,0.28,3.07
FG,35.78,1.08,3.10
CX,6.25,0.19,3.14
GGAL,59.41,1.67,2.89
OR,21.18,0.63,3.07
