symbol,price,price_change,price_percent_change
AREB,18.32,14.36,362.63
SOBR,5.02,1.55,44.63
RGC,33.4,9.1,37.45
ICCT,5.66,1.43,33.83
USAR,8.02,1.52,23.38
PAMT,13.51,2.4,21.6
MKTW,10.73,1.5,16.25
LOCL,3.25,0.43,15.25
ALMS,9.84,1.3,15.22
AEHL,2.4,0.3,14.47
LGHL,3.58,0.43,13.65
MLGO,20.83,2.38,12.93
UPC,3.22,0.34,11.98
WTF,6.54,0.68,11.54
FHTX,3.51,0.36,11.43
GES,10.98,0.94,9.36
ONON,40.84,3.19,8.49
CSAI,4.82,0.37,8.31
VSCO,16.05,1.18,7.94
IBP,175.98,12.19,7.44
Cayman,6.17,0.42,7.3
KSS,7.12,0.47,7.15
CSTE,2.55,0.17,7.14
COLM,71.78,4.58,6.82
HPAI,6.77,0.43,6.78
GAP,19.04,1.2,6.73
ARHS,7.53,0.47,6.66
BLD,302.56,18.34,6.45
NXU,2.49,0.15,6.41
DERM,7.0,0.41,6.22
HOV,100.22,5.84,6.19
SKX,51.95,2.99,6.11
DHI,129.63,7.32,5.98
NVAX,5.93,0.33,5.89
BZAI,2.16,0.12,5.89
CISS,3.66,0.2,5.63
CROX,101.35,5.38,5.61
CRI,37.54,1.97,5.54
DFH,22.49,1.18,5.54
GME,22.25,1.15,5.47
NKE,58.57,2.99,5.38
SLP,25.09,1.27,5.35
DECK,106.13,5.25,5.2
WWW,11.69,0.57,5.13
ANF,73.78,3.52,5.01
URBN,47.42,2.18,4.82
OXM,57.46,2.63,4.8
CCS,65.88,2.95,4.69
BJDX,3.4,0.15,4.62
MNRO,15.14,0.66,4.56
AEO,10.92,0.47,4.55
LSEA,6.03,0.26,4.51
MHO,113.99,4.89,4.48
PCVX,31.91,1.35,4.42
LEN.B,106.86,4.46,4.36
ODP,13.76,0.57,4.32
LGIH,63.74,2.56,4.18
BZH,19.81,0.79,4.15
LEN,112.82,4.42,4.08
PHM,101.71,3.96,4.05
RKT,14.4,0.56,4.01
TELO,2.95,0.11,3.87
GRBK,58.02,2.13,3.81
W,26.02,0.93,3.71
TOL,101.98,3.58,3.64
TPH,31.76,1.1,3.59
MTH,68.96,2.35,3.54
FIGS,4.07,0.14,3.44
KBH,57.5,1.9,3.41
TMHC,59.5,1.91,3.31
OCC,2.62,0.08,3.31
SHOO,24.43,0.78,3.3
DLTR,69.42,2.21,3.28
LULU,263.56,7.91,3.09
BKE,35.88,1.07,3.09
EUDA,3.83,0.11,2.96
EPSM,5.42,0.15,2.94
WSM,142.82,3.96,2.85
AVTE,2.58,0.07,2.59
PHH,13.11,0.33,2.58
TFII,77.67,1.82,2.4
FOR,21.08,0.48,2.35
AUID,4.84,0.11,2.33
GOLF,60.95,1.37,2.3
ABG,218.32,4.86,2.27
FIZZ,42.8,0.94,2.26
LANC,178.94,3.88,2.21
TDUP,2.58,0.06,2.18
IMPP,2.37,0.05,2.16
JBI,6.72,0.14,2.05
MKTX,220.5,4.35,2.01
ZGN,6.6,0.13,2.01
FL,12.7,0.25,2.01
CAL,15.83,0.31,1.98
ZCAR,3.78,0.07,1.89
AGL,4.08,0.07,1.88
BURL,239.93,4.27,1.81
AEHR,6.96,0.12,1.75
MAMA,6.5,0.11,1.72
SCVL,19.57,0.33,1.72
