symbol,price,price_change,price_percent_change
ICCT,4.23,2.16,104.35
TCRT,4.22,1.42,50.71
TIVC,4.87,1.62,49.85
NTHI,9.58,2.58,36.86
LOCL,2.8,0.7,33.33
CGTL,5.38,1.23,29.64
OPOF,36.82,6.91,23.1
NMAX,62.54,10.02,19.07
LZMH,8.34,1.18,16.48
SKBL,12.0,1.64,15.83
VMAR,5.79,0.72,14.2
CLIK,2.64,0.31,13.3
MDCX,3.81,0.41,12.06
GT,10.19,1.07,11.73
ADTX,5.58,0.58,11.6
FLX,2.5,0.26,11.36
LW,59.67,5.52,10.19
FORD,4.92,0.44,9.82
VTMX,24.94,2.14,9.39
RHLD,30.7,2.32,8.17
TZUP,4.53,0.34,8.11
MOH,353.47,24.98,7.6
NYXH,6.99,0.49,7.54
LGPS,3.5,0.23,7.03
EPSM,5.27,0.32,6.46
PAGS,8.5,0.51,6.38
STNE,11.39,0.66,6.15
Cayman,5.73,0.33,6.11
CNC,64.3,3.56,5.87
ABEO,4.95,0.27,5.77
VERO,2.39,0.13,5.75
RIME,2.24,0.12,5.66
DERM,6.59,0.35,5.61
SEPN,5.8,0.3,5.55
ELV,452.8,23.47,5.47
NGG,69.37,3.59,5.46
POET,4.07,0.2,5.31
SBAC,230.87,11.53,5.26
KR,70.74,3.48,5.17
FSLR,136.23,6.41,4.94
TEF,4.89,0.23,4.82
BDMD,5.76,0.26,4.73
DG,94.46,4.26,4.72
AMT,228.11,10.21,4.69
CELZ,2.24,0.1,4.67
OMH,2.33,0.1,4.48
UL,62.54,2.68,4.48
SBS,18.7,0.79,4.38
ACTU,7.21,0.3,4.34
FCEL,4.82,0.2,4.33
CNL,9.47,0.39,4.3
FCFS,127.31,5.23,4.28
MSEX,66.57,2.7,4.23
PPC,51.06,2.06,4.2
ELP,7.72,0.31,4.18
BTI,41.92,1.68,4.16
CSAN,5.54,0.22,4.14
IDR,15.81,0.62,4.08
TU,14.56,0.57,4.07
MASK,3.65,0.14,3.99
AWK,151.94,5.75,3.94
AMX,15.02,0.56,3.91
BCE,22.66,0.84,3.85
BKD,6.27,0.23,3.81
FMS,25.66,0.94,3.78
PM,162.07,5.9,3.78
ALHC,18.51,0.66,3.7
BNTC,13.01,0.46,3.67
GSK,38.98,1.34,3.56
COR,289.34,9.83,3.52
UNH,541.51,18.31,3.5
MCK,717.51,23.98,3.46
TIMB,16.51,0.55,3.45
VIV,9.3,0.3,3.39
KT,17.88,0.57,3.29
TIGO,30.5,0.97,3.28
RGC,24.3,0.77,3.27
DWTX,4.18,0.13,3.21
WTRG,40.65,1.26,3.2
CCI,107.1,3.29,3.17
BJ,118.61,3.64,3.17
BBD,2.28,0.07,3.08
ITUB,5.7,0.17,3.07
RCI,26.06,0.77,3.04
DUK,124.05,3.66,3.04
GIS,60.98,1.78,3.02
EZPW,15.78,0.46,3.0
NB,2.09,0.06,2.96
EBR,7.33,0.21,2.95
TBBB,28.05,0.8,2.94
WING,242.78,6.82,2.89
INHD,5.0,0.14,2.88
JNJ,159.81,4.45,2.86
ED,112.7,3.12,2.85
CCU,15.59,0.43,2.84
HLN,10.44,0.28,2.81
CCEP,89.82,2.41,2.76
VOD,9.37,0.25,2.74
EXC,47.23,1.26,2.74
KC,14.88,0.39,2.69
