symbol,price,price_change,price_percent_change
PRTG,9.98,5.27,111.86
LXEH,20.25,6.92,51.91
DBVT,5.9,1.99,50.9
NTHI,17.7,5.7,47.5
AGX,144.49,29.26,25.39
PHH,13.78,1.95,16.48
ALMS,5.47,0.77,16.38
QNTM,9.58,1.2,14.32
ONEG,3.0,0.34,12.78
HMY,14.14,1.3,10.16
BIYA,7.02,0.63,9.84
ABL,7.83,0.68,9.51
QSG,3.32,0.26,8.5
ALMU,7.02,0.52,7.91
WRB,71.47,5.19,7.83
AEVA,6.86,0.48,7.6
GNLX,3.26,0.23,7.59
CVAC,3.0,0.2,7.18
MBX,7.93,0.52,7.05
JUNE,9.4,0.59,6.75
BASE,15.57,0.91,6.21
SKYH,13.65,0.78,6.06
CRVO,9.0,0.5,5.88
GFI,22.15,1.19,5.68
SLNO,71.18,3.79,5.62
ABUS,3.43,0.16,4.89
PLSE,16.4,0.74,4.73
BOWN,7.66,0.34,4.64
III,3.93,0.16,4.36
SVRA,2.9,0.12,4.32
MASS,4.17,0.16,3.99
APP,271.72,10.02,3.83
ZLAB,37.5,1.32,3.65
NVCT,9.99,0.34,3.52
BRZE,37.98,1.28,3.5
WKSP,3.46,0.11,3.28
BCAX,13.82,0.42,3.13
PN,3.14,0.09,2.95
TIC,11.52,0.33,2.9
AU,37.22,1.04,2.87
LODE,2.57,0.07,2.8
ENPH,62.4,1.69,2.78
DRD,14.84,0.4,2.77
GIFT,2.16,0.06,2.76
AMBR,12.38,0.33,2.74
NGG,65.66,1.73,2.7
AURA,6.1,0.16,2.69
SNRE,48.68,1.25,2.65
GOGL,8.36,0.21,2.64
CWT,47.73,1.22,2.62
MTRX,12.62,0.32,2.6
TYRA,9.91,0.25,2.59
BCDA,2.75,0.07,2.57
BKD,6.06,0.14,2.45
TARS,51.88,1.23,2.43
HE,11.44,0.27,2.42
RKLB,18.85,0.43,2.33
BLND,3.52,0.08,2.33
TKC,6.22,0.14,2.32
PPL,35.78,0.81,2.3
OGS,75.38,1.65,2.23
AWK,146.22,3.15,2.21
MRK,89.5,1.9,2.17
ONC,268.19,5.59,2.13
LAND,10.63,0.21,2.02
NEXN,7.78,0.15,1.97
RACE,435.09,8.27,1.94
PNW,94.8,1.78,1.91
TTEC,3.48,0.07,1.9
WTRG,39.38,0.73,1.89
ES,61.42,1.11,1.85
SJW,53.23,0.95,1.82
CMS,74.47,1.32,1.8
AMRC,12.52,0.22,1.79
SLP,24.63,0.43,1.78
LUNG,6.91,0.12,1.77
FE,40.15,0.69,1.76
NWE,56.65,0.98,1.76
BOW,41.72,0.72,1.76
TATT,28.46,0.49,1.75
WELL,152.48,2.56,1.7
KSPI,94.36,1.55,1.67
SNY,55.81,0.9,1.64
PEG,82.03,1.32,1.64
GO,13.18,0.21,1.62
SBSW,4.42,0.07,1.61
POR,44.44,0.7,1.6
NJR,49.15,0.76,1.57
ANNX,2.28,0.04,1.56
GNK,13.36,0.2,1.56
AZN,73.97,1.13,1.55
WEC,107.86,1.64,1.54
RYTM,54.32,0.82,1.54
MLGO,16.18,0.24,1.54
HLN,10.27,0.15,1.48
SYRE,17.95,0.26,1.47
D,55.26,0.79,1.44
AFG,129.61,1.84,1.44
THRD,3.54,0.05,1.43
INVA,18.14,0.26,1.43
