symbol,price,price_change,price_percent_change
SLNO,69.98,21.01,42.99
CNXC,63.01,17.33,37.88
CAR,73.71,12.16,19.76
MLGO,13.85,1.99,16.78
DLTR,76.04,6.83,9.87
RIVN,13.06,0.96,7.97
LKNCY,35.88,2.68,8.07
ZLAB,36.49,2.58,7.61
HCM,15.29,1.07,7.52
AAP,40.67,2.85,7.53
EWTX,23.56,1.3,5.84
LBRT,16.26,0.84,5.48
BILI,20.43,0.99,5.12
ALC,95.93,4.61,5.05
DAR,32.04,1.56,5.12
MNSO,19.67,0.9,4.79
FINV,10.29,0.48,4.85
BYDDF,53.46,2.46,4.82
IAG,6.39,0.28,4.63
BURBY,10.67,0.48,4.71
WING,230.23,9.86,4.47
QFIN,48.49,2.12,4.57
BYDDY,106.68,4.58,4.49
OLLI,112.76,4.6,4.25
FJTSY,20.62,0.85,4.30
IMVT,18.63,0.74,4.14
CAVA,89.80,3.13,3.61
CMPGY,33.28,1.25,3.90
AZO,3,143.64,3.90
SE,134.74,5.47,4.23
FUTU,111.57,4.06,3.78
LEGN,35.95,1.28,3.69
BWIN,46.29,1.65,3.70
WRD,15.47,0.52,3.48
TME,14.93,0.53,3.68
MPNGY,42.43,1.49,3.64
BABA,137.05,4.81,3.64
ANGI,17.02,0.59,3.62
MAKSY,9.19,0.32,3.61
LGND,111.94,3.86,3.57
EQX,7.07,0.24,3.51
DNLI,14.26,0.45,3.26
BEKE,21.41,0.72,3.48
VRNA,66.31,2.12,3.31
TCOM,65.20,2.09,3.31
BVN,15.76,0.49,3.24
JD,43.13,1.35,3.24
ORLY,1,46.21,3.35
SMMT,20.51,0.62,3.12
TSLA,280.62,8.56,3.15
LAUR,20.66,0.6,2.97
ABT,130.52,3.91,3.09
CSAN,5.55,0.16,3.06
CORZ,7.82,0.19,2.49
BG,76.43,2.24,3.01
ANF,77.95,2.23,2.95
PHI,22.72,0.55,2.47
