symbol,price,price_change,price_percent_change
DJTWW,14.49,-0.21,1.43
DJT,22.06,-0.81,3.54
MBLY,16.43,-0.15,0.90
IP,55.38,-0.88,1.56
CTAS,205.85,12.39,6.40
EGO,16.65,0.06,0.39
TKC,6.21,0.32,5.43
FMCC,6.26,0.31,5.21
BBAR,20.07,0.17,0.83
X,43.02,0.02,0.05
PRMB,33.31,-0.21,0.61
APPF,229.65,-0.68,0.30
INTA,63.65,-0.53,0.82
YOU,27.52,0.01,0.04
CLBT,20.75,0.14,0.68
CX,6.22,-0.06,0.96
MNSO,19.08,0.84,4.65
SOMMY,12.35,0.42,3.52
EQX,6.95,-0.05,0.64
FCX,43.21,0.2,0.47
UNCRY,29.91,0.97,3.35
CRWD,382.70,-2.25,0.58
DUOL,338.99,-1.51,0.44
DSCSY,22.99,0.7,3.14
FRSH,16.35,-0.1,0.58
PAYX,147.72,3.59,2.49
