symbol,price,price_change,price_percent_change
WOR,51.60,9.97,23.95
GME,28.39,2.99,11.75
XNGSY,36.00,3.45,10.60
DOOO,38.23,2.69,7.57
CTAS,204.71,11.25,5.82
ASH,59.74,2.81,4.94
VNET,8.90,0.42,4.95
QFIN,46.37,2.14,4.84
BKRKY,11.91,0.51,4.47
MOH,323.52,12.99,4.18
TLK,14.68,0.6,4.26
PAYX,150.19,6.06,4.20
ANGPY,6.80,0.25,3.82
TAL,13.48,0.45,3.49
SOMMY,12.35,0.42,3.52
CAR,61.55,2.07,3.48
SYY,72.76,2.37,3.37
PII,42.95,1.33,3.20
STZ,184.07,5.71,3.20
NTDOY,18.58,0.56,3.11
DLTR,69.21,2.07,3.08
PPC,52.59,1.52,2.98
TAP,60.56,1.8,3.06
GMAB,19.62,0.56,2.94
