symbol,price,price_change,price_percent_change
GT,10.19,1.07,11.73
LW,59.59,5.44,10.05
GBOOY,38.78,3.5,9.97
VTMX,24.93,2.13,9.34
MOH,353.47,24.98,7.60
SAABY,20.80,1.27,6.53
TSCDY,13.72,0.86,6.69
PAGS,8.50,0.51,6.38
STNE,11.39,0.66,6.15
CNC,64.29,3.56,5.87
DANOY,16.10,0.87,5.71
NGG,69.40,3.62,5.50
ELV,452.65,23.32,5.43
WMMVY,29.74,1.5,5.31
ORANY,13.70,0.69,5.30
SBAC,230.87,11.53,5.26
RNMBY,296.10,14.14,5.01
KR,70.75,3.48,5.17
FSLR,136.23,6.41,4.94
AMT,228.14,10.24,4.70
DG,94.46,4.26,4.72
SSEZY,21.80,0.98,4.71
UL,62.54,2.68,4.49
XIACF,5.92,0.25,4.41
BTI,41.92,1.67,4.16
CSAN,5.55,0.23,4.29
FCFS,127.31,5.23,4.28
SBS,18.70,0.78,4.38
ELP,7.72,0.31,4.18
PPC,51.06,2.06,4.20
TU,14.56,0.57,4.07
IMBBY,38.08,1.45,3.96
AUOTY,5.26,0.2,3.95
AWK,151.98,5.79,3.96
AMX,15.02,0.56,3.91
BCE,22.66,0.84,3.85
FMS,25.67,0.94,3.79
PM,162.07,5.9,3.78
BOLSY,6.68,0.24,3.73
GSK,38.98,1.34,3.57
XIACY,29.38,1.03,3.63
ALHC,18.51,0.66,3.70
COR,289.36,9.85,3.52
NSRGY,105.28,3.52,3.46
TIMB,16.51,0.55,3.43
MCK,717.49,23.96,3.45
VIV,9.30,0.31,3.39
UNH,541.08,17.88,3.42
KT,17.88,0.57,3.29
BAESY,85.49,2.72,3.29
TIGO,30.50,0.97,3.28
BKGFY,9.56,0.3,3.24
WTRG,40.65,1.26,3.20
CCI,107.07,3.26,3.14
TGOPY,24.63,0.74,3.10
ITUB,5.70,0.17,3.07
BJ,118.57,3.6,3.13
RCI,26.06,0.77,3.04
EBR,7.34,0.22,3.02
DUK,124.06,3.67,3.05
