symbol,price,price_change,price_percent_change
VERO,8.13,5.21,178.42
AEHL,4.92,2.74,125.69
TIVC,5.42,1.81,50.14
ICCT,4.74,1.48,45.4
HUBC,2.91,0.45,18.21
NDRA,4.69,0.7,17.54
DXF,7.45,1.03,16.04
JZXN,4.51,0.62,15.94
TGL,2.62,0.36,15.93
BLIV,3.57,0.47,15.16
LFCR,5.99,0.78,14.97
NC,36.68,4.65,14.52
KRUS,47.29,5.83,14.06
WGRX,4.26,0.44,11.52
SXTC,2.77,0.28,11.24
LGHL,3.36,0.33,11.04
WRD,9.8,0.96,10.86
BIYA,3.8,0.37,10.79
NUTX,94.09,9.15,10.77
LXEO,2.0,0.18,9.93
SMPL,36.47,3.27,9.87
UPXI,2.39,0.21,9.52
CPRI,13.63,1.15,9.21
HMY,14.16,1.2,9.21
LHSW,3.01,0.25,9.12
NGNE,7.99,0.65,8.86
TXG,7.75,0.61,8.54
FORM,25.15,1.97,8.5
ACOG,4.06,0.31,8.27
KODK,5.74,0.44,8.24
IAG,6.28,0.47,8.18
BKKT,7.56,0.56,8.0
AEVA,6.38,0.47,7.95
SBSW,3.48,0.26,7.92
RAIN,2.26,0.17,7.89
IQ,1.65,0.12,7.86
MTA,2.75,0.2,7.84
ARMN,4.58,0.33,7.77
UAMY,2.1,0.15,7.69
CDE,5.18,0.37,7.68
AEHR,7.28,0.5,7.37
SPRU,2.05,0.14,7.33
ONTO,113.34,7.74,7.33
XPRO,7.4,0.49,7.16
DJT,17.84,1.18,7.06
MRAM,4.71,0.31,7.05
EGO,16.72,1.08,6.94
CIA,4.01,0.26,6.93
BRFS,3.32,0.21,6.91
CSIQ,7.22,0.47,6.88
VLN,1.88,0.12,6.82
HCAI,7.28,0.46,6.76
AU,35.4,2.23,6.74
OLN,19.16,1.21,6.71
SOGP,2.02,0.13,6.58
TFPM,19.54,1.19,6.46
EWCZ,3.5,0.21,6.38
ZYBT,3.87,0.23,6.32
ECPG,28.84,1.71,6.3
LZMH,8.7,0.5,6.09
DAL,38.05,2.17,6.05
EXK,3.34,0.19,6.03
EPWK,5.1,0.29,6.03
RUN,6.0,0.34,6.0
AGI,25.94,1.45,5.9
GFI,21.22,1.18,5.86
KGC,12.66,0.7,5.85
INTC,19.17,1.04,5.71
HYMC,2.6,0.14,5.69
GDOT,7.08,0.38,5.67
TLS,2.34,0.13,5.66
AG,5.53,0.29,5.51
AVAV,127.68,6.65,5.49
QUIK,4.67,0.24,5.42
RDW,8.12,0.41,5.38
KRNT,16.66,0.84,5.34
QS,3.66,0.18,5.33
BNGO,2.98,0.15,5.31
WOLF,2.3,0.12,5.28
ARM,90.34,4.52,5.27
BVN,13.62,0.68,5.26
EVTL,3.03,0.15,5.21
GT,8.91,0.43,5.13
ORLA,8.72,0.42,5.13
MTEN,4.31,0.21,5.12
SSTK,15.3,0.74,5.12
PAAS,22.83,1.11,5.11
VSH,11.11,0.54,5.11
VERA,19.82,0.96,5.09
HL,4.95,0.24,5.08
CAMT,54.97,2.65,5.06
NG,2.4,0.12,5.04
BLMN,6.58,0.32,5.03
REE,2.51,0.12,5.02
MASS,3.81,0.18,4.96
AMRC,9.74,0.46,4.96
AMPX,2.22,0.1,4.95
PPTA,10.0,0.47,4.93
NTHI,10.1,0.47,4.89
NGD,3.12,0.14,4.87
