symbol,price,price_change,price_percent_change
DJTWW,14.74,1.61,12.26
DJT,22.87,1.86,8.85
MBLY,16.58,1.32,8.65
EPAC,47.02,3.64,8.39
SAND,7.37,0.52,7.59
IP,56.26,3.43,6.49
EGO,16.59,0.88,5.60
TKC,6.21,0.32,5.43
FMCC,6.26,0.31,5.21
BAYRY,6.35,0.3,4.96
BBAR,19.90,0.89,4.68
X,43.00,1.85,4.50
TTD,62.00,2.66,4.48
PRMB,33.52,1.43,4.46
APPF,230.33,9.73,4.41
ZIJMY,47.61,2.01,4.41
ETSY,47.82,1.96,4.27
BMA,84.61,3.41,4.20
INTA,64.18,2.56,4.15
YPF,37.67,1.5,4.15
YOU,27.51,1.01,3.81
CVNA,221.66,8.03,3.76
QRVO,75.63,2.72,3.73
SBS,17.86,0.64,3.72
CLBT,20.61,0.73,3.67
CX,6.28,0.22,3.63
JBAXY,14.62,0.51,3.61
NGLOY,15.40,0.53,3.56
SOMMY,12.35,0.42,3.52
CAAP,19.04,0.64,3.48
TSLA,288.14,9.75,3.50
EQX,7.00,0.23,3.40
FNMA,7.34,0.24,3.38
SPKKY,5.83,0.19,3.37
FCX,43.01,1.4,3.36
UNCRY,29.91,0.97,3.35
TGS,28.37,0.91,3.31
CRWD,384.95,12.31,3.30
DUOL,340.50,10.5,3.18
DSCSY,22.99,0.7,3.14
FRSH,16.45,0.5,3.13
OLYMY,13.54,0.41,3.12
EE,31.71,0.96,3.12
SNEX,81.61,2.46,3.11
WNS,64.80,1.91,3.04
VIST,48.33,1.42,3.03
