symbol,price,price_change,price_percent_change
HMY,15.83,1.14,7.75
SMMT,19.43,1.2,6.58
GFI,23.05,1.5,6.94
PSMT,89.97,4.18,4.87
AU,38.11,1.69,4.64
ALHC,19.41,0.87,4.69
GDS,20.47,1.03,5.33
ORLA,9.72,0.44,4.74
IAG,6.79,0.28,4.30
AGL,5.38,0.2,3.76
AEM,110.12,4.32,4.08
KNTNF,8.77,0.34,4.03
NCLTY,11.40,0.44,4.01
TAL,10.03,0.38,3.94
AGI,27.59,1.05,3.96
KGC,13.46,0.44,3.38
ACT,34.71,1.34,4.00
SAND,7.48,0.25,3.46
FNV,155.72,5.5,3.66
RGLD,169.74,5.2,3.17
TFPM,20.51,0.64,3.21
SSDOY,17.05,0.51,3.08
EQX,6.43,0.18,2.80
OR,21.01,0.6,2.94
WPM,76.89,2.26,3.04
TTNDY,48.39,1.41,3.00
