symbol,price,price_change,price_percent_change
CNXC,64.48,-0.56,0.86
MLGO,16.62,0.68,4.27
CAR,74.47,0.31,0.42
RIVN,12.80,-0.23,1.73
FINV,10.09,-0.37,3.54
ALC,96.09,-0.71,0.73
RKLB,19.57,1.15,6.25
IAG,6.53,0.1,1.48
LBRT,16.20,-0.02,0.12
IMVT,18.82,0.03,0.16
HMY,13.52,0.68,5.30
MAKSY,9.30,0.43,4.85
DAR,31.91,0.0,0.00
OLLI,113.07,0.0,0.00
FJTSY,20.66,0.89,4.50
AU,37.84,1.66,4.59
WING,226.34,-2.95,1.29
EQX,7.12,0.03,0.35
PARAA,23.40,-0.18,0.77
QFIN,47.44,-0.68,1.41
SRRK,33.47,0.1,0.31
LKNCY,34.40,1.2,3.61
SMMT,20.61,0.01,0.05
CMPGY,33.17,1.14,3.56
DG,87.44,-0.1,0.11
SE,131.57,-2.0,1.50
QXO,14.06,0.05,0.36
JHX,24.42,-0.22,0.91
RACE,437.81,10.99,2.57
BWIN,45.77,-0.28,0.61
BG,76.68,0.18,0.24
WIX,171.82,-2.06,1.18
WMK,77.81,2.27,3.01
