symbol,price,price_change,price_percent_change
CNXC,65.04,19.36,42.38
SLNO,67.39,18.42,37.61
MLGO,15.94,4.08,34.40
CAR,74.16,12.61,20.49
DLTR,76.95,7.74,11.18
RIVN,13.02,0.92,7.60
HCM,15.26,1.04,7.31
ZLAB,36.18,2.27,6.69
FINV,10.47,0.66,6.73
AAP,40.35,2.53,6.69
ALC,96.86,5.54,6.07
FUL,57.54,3.22,5.93
JBSAY,14.47,0.75,5.47
EWTX,23.44,1.18,5.30
LBRT,16.23,0.81,5.22
IAG,6.43,0.32,5.24
IMVT,18.79,0.9,5.03
MAKSY,9.29,0.42,4.74
DAR,31.92,1.44,4.72
AUR,7.46,0.34,4.78
BURBY,10.65,0.46,4.51
OLLI,113.07,4.9,4.53
FJTSY,20.66,0.89,4.50
UNF,178.02,7.15,4.18
PARAA,23.58,0.86,3.79
SAND,7.66,0.31,4.23
MNSO,19.55,0.77,4.13
BYDDF,53.10,2.1,4.12
BYDDY,106.40,4.3,4.21
WING,229.29,8.92,4.05
AZO,3,142.25,3.86
SRRK,33.36,1.2,3.73
QFIN,48.12,1.75,3.77
ANGI,17.05,0.62,3.77
ABT,131.34,4.73,3.74
MLTX,39.84,1.45,3.78
BILI,20.16,0.72,3.70
EQX,7.07,0.24,3.59
CMPGY,33.19,1.16,3.62
SMMT,20.60,0.71,3.57
DG,87.65,2.95,3.48
MPNGY,42.35,1.41,3.44
BVN,15.78,0.52,3.41
AGI,26.71,0.88,3.41
WMK,78.08,2.54,3.36
JHX,24.65,0.8,3.35
CC,14.30,0.47,3.36
LKNCY,34.31,1.11,3.34
SE,133.48,4.21,3.26
TCOM,65.18,2.07,3.28
CORZ,7.88,0.25,3.28
PCVX,70.77,2.21,3.22
BWIN,46.05,1.41,3.16
WIX,173.88,5.25,3.11
NBIS,25.41,0.7,2.83
CDE,6.34,0.2,3.18
QXO,13.99,0.43,3.17
BG,76.53,2.34,3.15
RACE,426.86,13.13,3.17
SSRM,11.21,0.33,3.03
WDFC,242.49,7.19,3.06
LAUR,20.66,0.6,2.99
NVCR,18.97,0.53,2.87
BFAM,128.98,3.8,3.03
ORLY,1,42.64,3.09
