symbol,price,price_change,price_percent_change
AGL,5.31,-0.05,0.93
HMY,14.54,1.57,12.10
TNXP,19.74,-0.08,0.40
HUM,279.40,-2.55,0.90
SMTOY,13.16,0.87,7.08
AVAV,120.70,-0.33,0.27
ALHC,18.74,-0.22,1.13
HCC,43.91,0.47,1.08
CVS,66.82,-0.81,1.20
UNH,554.99,1.91,0.35
DLICY,12.50,0.61,5.13
RYTM,55.33,-2.4,4.16
CVNA,180.25,3.93,2.23
HTHIY,19.88,0.94,4.96
ARLP,26.17,0.31,1.18
LOAR,74.78,-0.51,0.68
PDI,17.70,-0.13,0.73
PAAS,22.80,1.08,4.97
FNMAS,10.60,0.45,4.43
STRL,111.44,-2.39,2.10
LNSTY,34.80,1.35,4.04
VIK,35.70,0.19,0.54
BGC,7.75,-0.05,0.64
EQX,5.97,0.28,4.93
XIACY,24.10,0.85,3.66
BWXT,92.29,-0.88,0.94
MRCY,42.51,-0.45,1.05
ZTO,17.18,0.67,4.06
ZURVY,32.35,1.03,3.29
THLLY,51.70,1.6,3.19
OTLY,8.98,-0.0,0.04
CYBR,318.00,2.71,0.86
AVGO,159.40,3.37,2.16
