symbol,price,price_change,price_percent_change
VVPR,3.99,1.73,76.41
LXEH,15.15,4.75,45.67
ULY,5.07,1.16,29.67
HCAI,7.5,1.54,25.84
WOR,51.03,9.4,22.58
PLTK,5.38,0.98,22.39
EPSM,4.87,0.87,21.75
EDBL,3.45,0.56,19.54
ZYBT,9.76,1.56,19.02
GME,29.47,4.07,16.01
ICU,2.51,0.3,13.57
QNTM,6.65,0.79,13.48
BAK,4.15,0.46,12.47
BOF,2.5,0.27,12.11
GPUS,2.68,0.28,11.67
VS,2.33,0.24,11.48
BDMD,6.61,0.68,11.48
GV,3.54,0.36,11.32
ALMS,4.45,0.45,11.25
LGHL,4.12,0.41,11.22
PRM,10.09,0.98,10.76
XYF,14.34,1.33,10.27
TZUP,4.42,0.39,9.68
PHH,10.46,0.92,9.59
LZMH,8.33,0.67,8.8
CATO,3.52,0.26,7.98
NIU,4.46,0.33,7.85
CYD,18.34,1.31,7.69
REX,39.28,2.67,7.31
BYON,5.18,0.35,7.25
SYTA,2.16,0.14,6.93
HFFG,4.66,0.3,6.88
BIYA,4.65,0.3,6.84
DOOO,37.97,2.43,6.84
TBH,5.88,0.37,6.72
CTAS,205.7,12.24,6.33
RILY,4.3,0.25,6.17
KNOP,6.75,0.38,5.97
JFIN,12.42,0.69,5.83
HOND,10.72,0.58,5.72
GMGI,2.13,0.12,5.69
ELAB,5.18,0.27,5.52
NAYA,2.4,0.12,5.26
DLTR,70.65,3.51,5.22
PROP,5.52,0.27,5.14
QFIN,46.42,2.19,4.95
QSG,2.83,0.13,4.88
GTE,5.16,0.24,4.88
AVD,4.42,0.2,4.87
PAYX,151.12,6.99,4.85
AMPY,3.9,0.18,4.84
WVE,9.89,0.45,4.77
ASH,59.63,2.7,4.74
GO,12.78,0.57,4.67
GDHG,3.98,0.17,4.59
UPC,4.7,0.2,4.56
TALO,9.66,0.42,4.55
RERE,3.14,0.14,4.49
ODP,15.3,0.66,4.47
ACIC,11.98,0.5,4.36
KYTX,2.4,0.1,4.35
TLK,14.67,0.59,4.19
SFD,19.94,0.8,4.18
KFS,8.03,0.32,4.15
FLIC,12.56,0.5,4.15
MWYN,4.39,0.19,4.51
VNET,8.82,0.34,4.01
SKBL,11.96,0.46,4.0
SSP,3.38,0.13,4.0
KINS,16.73,0.61,3.78
CNOB,24.62,0.89,3.75
DAR,30.77,1.1,3.71
USNA,27.22,0.96,3.67
ADVM,5.11,0.18,3.65
IMNM,7.2,0.25,3.61
HAIN,3.88,0.14,3.6
TSE,4.05,0.14,3.58
KOS,2.35,0.08,3.56
NPKI,6.08,0.2,3.49
NGNE,14.7,0.49,3.49
SJT,5.7,0.19,3.45
MOH,321.18,10.65,3.43
GRAB,4.7,0.15,3.41
DAO,7.89,0.26,3.41
LX,10.94,0.35,3.36
TTAM,14.08,0.45,3.3
ACHV,2.95,0.09,3.15
MNSO,18.81,0.57,3.13
TTE,65.45,1.93,3.04
SND,2.56,0.07,3.02
SKYH,13.3,0.39,3.02
PRAX,36.93,1.07,2.98
JYD,5.56,0.16,2.96
GMAB,19.62,0.56,2.94
EWCZ,4.24,0.12,2.91
MKFG,4.42,0.13,2.91
EXC,43.98,1.22,2.85
FFWM,4.88,0.14,2.85
BOOM,9.06,0.25,2.84
DG,84.85,2.27,2.75
