symbol,price,price_change,price_percent_change
NFE,7.84,-0.73,8.58
ACLX,67.23,6.53,10.76
AMTM,18.77,-0.93,4.74
RKT,13.85,-0.01,0.07
MRX,37.50,-1.34,3.45
AKRO,40.25,-1.7,4.05
SRRK,31.05,-1.49,4.58
UWMC,5.68,-0.11,1.90
IMVT,15.90,-0.52,3.20
IONQ,23.12,-1.93,7.72
SLNO,70.37,-3.3,4.49
CLF,7.99,-0.74,8.47
NBIS,21.86,-2.59,10.56
LOAR,76.85,5.52,7.74
KBR,51.88,-1.9,3.53
GRFS,7.49,0.53,7.61
CYTK,39.88,-0.37,0.92
COOP,130.03,-3.53,2.64
RKLB,17.89,-1.45,7.50
CVNA,226.32,13.73,6.46
AUR,6.52,-0.64,8.95
IESC,179.63,10.77,6.38
LKNCY,37.91,2.27,6.37
KTOS,29.89,-1.27,4.09
MOD,76.95,-8.37,8.93
CLSK,7.30,-0.73,9.03
COHR,62.28,-5.26,7.80
RRX,112.36,-9.15,7.53
LDOS,139.71,-3.23,2.26
LYFT,11.95,-1.0,7.72
ANF,74.00,-9.39,11.26
PSN,63.05,3.49,5.86
CZR,24.22,-2.06,7.85
AS,28.36,1.55,5.78
ODD,44.00,-3.61,7.58
CIEN,59.36,-5.67,8.73
ELF,61.55,-6.34,9.21
TEM,46.17,-3.72,7.43
W,27.97,-5.76,17.07
CRK,19.16,-2.32,10.93
WSC,27.67,-1.32,4.57
GAP,19.02,-3.35,14.99
LEGN,33.04,-0.2,0.60
IONS,28.47,-0.24,0.85
TSLA,266.77,-15.99,5.65
ONON,37.21,-7.71,17.16
SHAK,95.71,4.71,5.18
BURL,239.78,-15.31,6.00
TEX,38.02,-1.99,4.97
LITE,60.88,-5.94,8.88
EQH,51.28,-3.65,6.66
SMTC,33.50,-3.12,8.52
NATL,27.01,-1.39,4.65
SN,77.07,-11.36,12.85
BWIN,44.92,-1.18,2.56
KMX,79.40,-3.37,4.07
AFRM,43.19,-4.56,9.54
MARA,11.55,-0.87,7.00
EVR,193.94,-16.18,7.70
COIN,169.10,-13.85,7.58
GEV,306.95,-23.85,7.21
BHVN,21.84,-1.84,7.77
ASAN,15.01,-1.03,6.42
BPMC,87.86,-2.15,2.39
MLTX,36.00,-2.05,5.39
RUM,7.51,-0.55,6.81
UAL,65.41,-5.96,8.35
LNW,86.52,-5.43,5.86
CG,42.28,-4.03,8.71
ACVA,15.13,0.66,4.56
KC,14.10,-0.39,2.73
MEDP,302.83,-8.4,2.70
TFII,78.81,-1.99,2.46
SAIA,351.48,-19.34,5.22
RARE,34.35,-1.01,2.79
AAON,82.72,3.56,4.50
UI,324.90,13.93,4.48
ILMN,78.99,-2.89,3.51
SATS,25.23,-1.06,4.03
ROAD,70.64,-5.76,7.47
ALNY,264.13,-2.7,1.01
GDS,25.61,-0.69,2.63
TTEK,30.64,-0.19,0.60
ALK,48.31,-2.83,5.53
OGN,14.58,-0.14,0.95
CLS,74.69,-7.66,9.34
UL,62.41,2.55,4.26
ACA,81.42,3.25,4.16
TOST,32.84,-2.84,7.95
DOCN,35.19,1.4,4.14
GLBE,34.80,-2.68,7.15
REZI,18.62,0.74,4.14
DECK,100.12,-17.86,15.13
ELAN,10.43,-0.35,3.20
VST,115.14,-12.05,9.48
AIR,55.03,-2.58,4.48
TPG,45.31,-4.31,8.69
HRI,127.68,-14.51,10.21
UAA,5.91,-0.68,10.48
RYTM,49.69,-2.26,4.35
ETSY,49.03,-1.39,2.76
WSM,165.01,6.14,3.86
HBI,5.47,-0.48,8.07
HLN,10.57,0.41,4.04
MAC,16.89,-0.82,4.66
QXO,14.72,0.54,3.81
PTCT,46.74,-1.63,3.38
ENVA,96.50,-7.17,7.05
MRCY,43.44,-1.68,3.73
DASH,178.24,-11.01,5.82
ATGE,105.78,3.81,3.74
DKNG,32.03,-2.4,6.96
ALGN,159.73,-4.25,2.59
LGND,103.16,-5.57,5.12
BBWI,31.77,1.14,3.72
R,151.66,5.4,3.69
KRYS,181.00,6.42,3.68
NVMI,181.18,-10.49,5.47
DELL,85.58,-9.75,10.23
TKO,153.01,-5.57,3.51
CEG,201.50,-12.96,6.04
OWL,19.39,-1.77,8.36
NUVL,67.10,-3.36,4.77
WPP,37.53,0.0,0.00
GTES,18.00,-1.24,6.38
AEO,11.60,-1.05,8.38
PFSI,100.29,-3.32,3.10
TNL,45.58,-2.49,5.18
LTH,29.90,-1.4,4.27
SAH,59.92,2.06,3.56
GTLS,134.75,-16.56,10.94
LNC,34.72,-2.55,6.83
TEAM,208.60,-15.36,6.86
BOOT,106.83,-8.02,6.96
FUN,34.82,-2.55,6.82
RSI,11.37,0.38,3.46
ACHR,6.66,-0.54,7.50
WBD,10.11,-0.45,4.21
RNW,5.89,-0.15,2.48
MMS,68.87,-2.16,3.05
DRVN,16.75,-0.56,3.26
EXP,235.20,7.72,3.39
BDC,97.68,-6.82,6.53
NET,119.55,3.89,3.36
SYF,51.26,-3.79,6.96
BNTX,91.43,-1.89,2.03
ALAB,57.62,-6.46,10.07
PLTR,82.32,-5.13,5.87
RXO,19.55,0.63,3.33
SHC,11.34,-0.16,1.43
ATS,25.65,-0.54,2.06
MBLY,14.02,-0.95,6.35
VICR,44.32,-4.25,8.74
AGYS,69.64,-5.0,6.68
IVZ,14.68,-1.01,6.44
UA,6.30,0.2,3.28
MDGL,334.60,10.62,3.28
SOFI,11.25,-1.06,8.61
PLNT,98.77,3.09,3.23
PRIM,59.42,1.85,3.21
NVT,51.10,-3.83,6.98
CNM,48.54,-2.42,4.75
KTB,62.81,-3.97,5.94
JXN,80.92,-6.26,7.18
BCC,102.07,3.16,3.19
OLLI,112.26,-5.94,5.03
DFS,161.88,-14.06,7.99
AXON,530.64,-27.78,4.97
SNY,55.74,1.79,3.32
CRSP,32.73,-1.46,4.27
DRS,32.39,-1.52,4.45
CRDO,38.60,-4.44,10.36
NPO,164.92,5.05,3.16
HGV,37.86,1.15,3.13
LAD,290.96,-15.15,4.95
LION,7.35,-0.23,2.94
AL,49.96,1.51,3.12
DUOL,313.10,-24.46,7.25
BTI,41.47,1.22,3.03
AVTR,16.00,-0.29,1.78
POWL,165.50,-15.8,8.71
HPE,15.13,-0.99,6.14
YETI,32.28,-2.44,6.58
MS,109.69,-9.58,8.03
FA,14.11,-0.76,5.01
PATH,10.22,-0.6,5.55
CDE,5.19,-0.56,9.74
FRHC,137.56,4.05,3.03
BC,55.56,1.63,3.02
CLBT,18.94,-0.89,4.49
AIT,236.32,6.89,3.00
