symbol,price,price_change,price_percent_change
VVPR,4.18,1.92,84.96
LXEH,18.21,7.81,75.1
EDBL,3.84,0.94,32.7
LZMH,9.99,2.33,30.42
ULY,4.84,0.93,23.79
WOR,51.52,9.89,23.76
ALMS,4.92,0.92,23.0
LICN,4.6,0.8,21.05
EPSM,4.82,0.82,20.5
PLTK,5.3,0.9,20.45
BOF,2.65,0.42,18.83
QNTM,6.95,1.09,18.6
HCAI,7.03,1.07,17.95
SOPH,3.68,0.56,17.95
XYF,15.31,2.31,17.77
JYD,6.18,0.78,14.44
NGNE,16.14,1.94,13.66
CGTL,3.79,0.44,13.13
VS,2.35,0.26,12.44
LGHL,4.16,0.46,12.43
BIYA,4.89,0.54,12.41
GDHG,4.27,0.46,12.07
BAK,4.13,0.44,11.92
AEVA,5.8,0.61,11.75
TZUP,4.5,0.47,11.66
GME,28.36,2.96,11.65
PHH,10.6,1.06,11.11
QSG,3.0,0.3,11.11
BYON,5.36,0.53,10.97
TBH,6.07,0.56,10.16
XGN,4.25,0.39,10.1
PRM,10.02,0.91,9.99
ICU,2.43,0.22,9.95
HFFG,4.79,0.43,9.86
RENT,5.17,0.45,9.53
NAYA,2.48,0.2,8.77
KGEI,7.87,0.63,8.7
KYTX,2.5,0.2,8.7
UPC,4.85,0.35,7.78
ARKR,10.1,0.72,7.73
DOOO,38.23,2.69,7.57
GV,3.42,0.24,7.55
SYTA,2.17,0.15,7.43
PN,3.96,0.26,7.03
CYD,18.22,1.19,6.99
AVD,4.5,0.29,6.89
HOND,10.8,0.66,6.51
PRAX,38.19,2.33,6.5
AMPY,3.96,0.24,6.45
UHG,3.14,0.19,6.44
GMGI,2.15,0.13,6.44
TH,6.52,0.39,6.36
WVE,10.02,0.58,6.14
CTAS,204.71,11.25,5.82
KNOP,6.74,0.37,5.81
EVC,2.22,0.12,5.71
PRTA,13.37,0.72,5.69
GO,12.9,0.69,5.65
CATO,3.44,0.18,5.52
REX,38.61,2.0,5.46
GRAB,4.78,0.24,5.29
STRW,11.94,0.59,5.2
PLCE,9.2,0.44,5.02
ACTU,8.0,0.38,4.99
VNET,8.9,0.42,4.95
ASH,59.72,2.79,4.9
NPCE,12.72,0.59,4.86
QFIN,46.37,2.14,4.84
NIU,4.34,0.2,4.83
RERE,3.15,0.14,4.65
OCX,3.18,0.14,4.61
HTZ,3.45,0.15,4.55
BIOX,4.38,0.19,4.53
MWYN,4.38,0.18,4.29
HAIN,3.91,0.16,4.27
PAYX,150.19,6.06,4.2
RILY,4.22,0.17,4.2
GPUS,2.5,0.1,4.17
MOH,323.44,12.91,4.16
TLK,14.66,0.58,4.12
FFWM,4.93,0.19,4.01
LIPO,2.6,0.1,4.0
ELAB,5.1,0.19,3.87
NOA,16.99,0.63,3.85
DIBS,3.1,0.11,3.68
HBB,19.79,0.7,3.67
USNA,27.22,0.96,3.66
TALO,9.57,0.33,3.57
FLIC,12.49,0.43,3.57
UVE,22.72,0.78,3.56
CING,4.14,0.14,3.5
CNOB,24.56,0.83,3.5
MKFG,4.45,0.15,3.49
CAR,61.55,2.07,3.48
HCI,145.35,4.88,3.47
TAL,13.48,0.45,3.45
ADNT,15.09,0.5,3.43
KINS,16.67,0.55,3.41
ACIC,11.87,0.39,3.4
CABO,273.42,8.96,3.39
