symbol,price,price_change,price_percent_change
RH,178.09,-13.94,7.26
FORM,27.41,-2.35,7.90
SITM,140.33,-9.57,6.38
VFC,11.79,-0.63,5.07
MCHP,41.26,-3.64,8.10
ONTO,123.83,-9.54,7.23
UAL,67.47,-3.36,4.74
CVNA,204.23,-16.21,7.35
RDDT,104.90,-5.96,5.38
CIVI,28.32,-1.98,6.55
MKSI,69.14,-4.06,5.54
ARM,101.37,-5.22,4.90
IONQ,25.41,-0.96,3.63
MPWR,528.20,-33.64,5.99
ALGM,21.88,-1.35,5.81
ON,36.93,-2.27,5.79
COHR,59.86,-3.18,5.04
AAL,10.59,-0.53,4.76
CRDO,41.00,-2.27,5.25
QRVO,59.01,-3.1,4.99
IMPUY,5.70,1.03,22.06
SNAP,8.57,-0.24,2.78
RMBS,48.45,-3.84,7.34
WRD,10.16,-0.61,5.61
SYNA,49.36,-2.9,5.55
RGTI,9.02,-0.38,3.99
FTAI,104.51,-4.44,4.08
SM,23.42,-1.2,4.88
WBD,8.87,-0.39,4.21
NOG,23.19,-1.55,6.23
SN,74.59,-4.16,5.28
SOFI,11.00,-0.39,3.42
ALAB,60.69,-3.64,5.66
RKLB,19.84,-0.75,3.62
LITE,57.68,-2.13,3.56
TTD,52.69,-1.42,2.63
U,19.16,-0.83,4.14
AEIS,88.25,-7.36,7.70
RNECY,5.83,0.94,19.22
CLS,78.98,-3.08,3.75
APA,15.58,-1.13,6.76
OKLO,23.30,-0.78,3.24
PLTR,89.14,-2.88,3.12
INTC,20.63,-0.9,4.18
LMND,28.56,-1.26,4.21
STLA,9.32,-0.8,7.86
SHOP,86.17,-5.23,5.72
ADI,185.72,-10.91,5.55
MUR,21.74,-1.44,6.23
ST,20.16,-0.72,3.47
LRCX,67.82,-3.29,4.63
SMNEY,62.29,9.43,17.84
BBWI,29.02,-0.99,3.26
RUM,7.89,-0.27,3.29
CCL,18.58,-1.03,5.25
JOBY,5.98,-0.28,4.47
OLED,119.00,-6.17,4.93
WFRD,43.37,-2.56,5.57
WEX,129.35,-3.71,2.78
CE,41.08,-2.83,6.45
ATS,24.65,3.58,16.99
COIN,169.88,-7.21,4.06
NBIS,22.61,-0.85,3.62
TRU,75.86,-5.12,6.32
MBLY,14.06,-1.08,7.13
TER,75.39,-4.05,5.10
KKR,105.85,-4.61,4.17
PVH,69.01,-1.69,2.39
XIACF,5.55,0.8,16.84
ADYEY,16.01,2.29,16.69
URBN,50.03,-0.42,0.84
VAC,56.89,-2.39,3.88
ANGPY,5.83,0.82,16.37
MOD,79.15,-4.41,5.01
APO,124.98,-3.47,2.71
APO-PA,69.37,9.69,16.24
IBKR,165.00,-5.72,3.35
GAP,19.45,-0.84,4.14
TXN,162.38,-7.12,4.20
RNLSY,10.18,1.41,16.08
FN,191.49,-10.41,5.16
SAIA,366.81,-7.99,2.13
CDE,5.55,-0.03,0.54
ATI,48.66,6.69,15.94
SMTC,28.61,-1.37,4.61
WCC,148.09,-5.77,3.75
CHRD,90.28,-4.71,4.96
LIF,34.36,-2.25,6.15
EVR,189.54,25.77,15.74
DOW,28.31,-1.56,5.21
ONON,43.37,-1.64,3.64
TPG,44.12,-1.75,3.82
ARES,142.37,19.16,15.55
MANH,158.57,-7.68,4.62
PSTG,43.09,-1.61,3.60
ZI,8.29,-0.27,3.15
IOT,39.31,-0.15,0.39
SHC,11.19,-0.13,1.15
NET,108.11,-4.45,3.93
RXO,14.94,2.0,15.46
MNDY,238.14,-13.86,5.50
XPO,100.07,-5.49,5.20
BA,155.95,-4.87,3.03
ANF,74.39,-2.84,3.67
SLAB,93.22,-6.19,6.23
CORZ,7.26,-0.25,3.33
GTES,17.94,2.38,15.30
PRKS,42.97,-1.41,3.18
IFNNY,30.36,4.01,15.22
SYF,48.50,-1.98,3.90
WDC,35.80,-0.5,1.38
DUOL,325.08,-12.32,3.65
AS,23.23,-0.89,3.69
VAL,31.31,-1.97,5.92
TECK,32.33,-1.08,3.22
NE,19.99,-1.22,5.73
MT,25.98,-0.99,3.67
COF,168.43,-6.48,3.70
DRPRY,5.12,0.66,14.80
STEP,46.10,-2.65,5.43
NVT,50.09,-1.78,3.43
PII,35.56,-1.12,3.07
WYNN,74.74,-1.1,1.44
POWI,46.19,-2.14,4.43
MIDD,139.04,-4.51,3.14
PR,11.27,-0.61,5.14
AA,24.44,-1.42,5.49
TOST,33.87,-0.51,1.50
TWST,38.15,-2.12,5.26
JHX,22.27,-0.93,3.99
BIRK,47.75,-0.35,0.73
ATKR,57.25,-2.28,3.83
DJTWW,12.98,0.44,3.51
BX,133.99,-3.37,2.45
HP,20.25,-1.46,6.67
APLE,11.89,-0.3,2.46
ALGN,161.59,-3.44,2.09
GTLS,125.15,-6.4,4.91
COTY,5.23,-0.13,2.43
RL,200.05,-8.32,3.84
CDNS,258.00,-6.65,2.51
OWL,17.52,-0.68,3.74
TSEM,34.38,-0.92,2.61
GGAL,51.07,-1.1,2.10
JBL,133.52,-3.86,2.79
MHVIY,34.98,4.33,14.13
