symbol,price,price_change,price_percent_change
NFE,8.57,0.99,13.06
RNA,29.77,3.03,11.33
SWTX,46.52,4.64,11.08
ACLX,67.23,6.53,10.76
AMTM,19.71,1.84,10.30
RKT,13.85,1.25,9.92
SMMT,20.46,1.66,8.83
MRX,38.84,3.16,8.86
RGTI,8.49,0.68,8.71
MRUS,43.01,3.41,8.61
AKRO,41.95,3.31,8.57
SRRK,32.54,2.48,8.25
IMVT,16.42,1.22,8.03
IONQ,25.05,1.86,8.02
UWMC,5.78,0.43,8.04
SLNO,73.67,5.41,7.93
LOAR,76.97,5.64,7.91
CLF,8.74,0.64,7.90
NBIS,24.45,1.76,7.76
KBR,53.74,3.81,7.63
GRFS,7.49,0.53,7.61
VKTX,25.68,1.77,7.40
CYTK,40.25,2.75,7.33
TMDX,73.11,4.84,7.09
COOP,133.56,8.48,6.78
RKLB,19.34,1.19,6.56
AUR,7.16,0.43,6.39
FIVE,81.49,5.01,6.55
LKNCY,37.94,2.3,6.45
PENN,17.17,1.03,6.38
IESC,179.63,10.77,6.38
CVNA,226.39,13.8,6.49
MOD,85.31,5.05,6.29
KTOS,31.16,1.86,6.35
RIOT,8.02,0.48,6.37
PSN,63.06,3.5,5.88
APGE,37.83,2.22,6.23
COHR,67.54,3.84,6.03
RRX,121.60,6.88,6.00
LDOS,143.03,8.07,5.98
CLSK,8.02,0.46,6.08
AS,28.36,1.55,5.78
LYFT,12.95,0.72,5.89
ANF,83.38,4.61,5.85
CZR,26.27,1.44,5.80
SMG,57.94,3.17,5.79
ODD,47.61,2.59,5.75
ELF,67.93,3.68,5.73
TEM,49.89,2.67,5.65
CIEN,65.03,3.49,5.67
CACI,390.99,21.09,5.70
W,33.71,1.77,5.53
TGTX,39.82,2.07,5.48
SOUN,8.66,0.46,5.61
CRK,21.48,1.13,5.55
SYM,22.03,1.13,5.41
PRKS,48.00,2.47,5.42
CORZ,8.42,0.42,5.25
IONS,28.71,1.45,5.32
WSC,28.99,1.51,5.49
LEGN,33.24,1.72,5.46
GAP,22.39,1.17,5.51
TSLA,282.76,14.3,5.33
ONON,44.94,2.24,5.23
SHAK,95.76,4.76,5.23
TEX,40.01,1.94,5.10
SMTC,36.62,1.76,5.05
BURL,255.06,12.37,5.10
ASAN,16.04,0.73,4.77
BAH,112.88,5.51,5.14
LITE,66.82,3.23,5.08
NATL,28.40,1.35,5.01
EQH,54.92,2.63,5.03
BWIN,46.10,2.17,4.94
AFRM,47.75,2.24,4.92
MARA,12.42,0.58,4.90
SN,88.36,4.16,4.94
UI,325.07,14.1,4.53
KMX,82.76,3.89,4.93
GEV,330.95,15.31,4.85
BBIO,34.62,1.6,4.85
BPMC,90.01,4.07,4.74
EVR,209.95,9.52,4.75
MIR,15.03,0.68,4.77
UAL,71.37,3.17,4.65
COIN,182.95,8.43,4.83
ACVA,15.14,0.67,4.63
LNW,91.95,4.08,4.64
BHVN,23.69,1.09,4.82
CG,46.31,2.04,4.61
MLTX,38.05,1.7,4.68
KC,14.49,0.63,4.55
SAIA,370.82,16.05,4.52
RARE,35.37,1.53,4.52
AAON,82.72,3.56,4.50
PCVX,33.69,1.46,4.53
RUM,8.06,0.36,4.68
RH,249.81,10.75,4.50
GDS,26.30,1.09,4.32
MEDP,311.23,13.5,4.53
URBN,55.42,2.35,4.43
SATS,26.29,1.1,4.37
BLDR,131.18,5.57,4.43
ILMN,81.88,3.49,4.45
TFII,80.68,3.38,4.36
ROAD,76.40,3.17,4.33
ALNY,266.83,11.07,4.33
NRG,102.86,4.33,4.40
ALK,51.15,2.11,4.30
ACA,81.56,3.39,4.34
TTEK,30.83,1.28,4.31
ADMA,20.23,0.81,4.17
VAC,65.60,2.66,4.22
OGN,14.73,0.6,4.25
AVAV,126.84,5.05,4.15
CLS,82.34,3.28,4.15
TOST,35.67,1.41,4.12
DOCN,35.18,1.39,4.11
ELAN,10.77,0.42,4.11
TAL,13.72,0.53,4.02
DECK,117.98,4.63,4.08
GLBE,37.48,1.49,4.14
VST,127.14,4.9,4.01
PAGS,7.99,0.31,4.04
REZI,18.61,0.73,4.08
TPG,49.62,1.9,3.98
BBWI,31.79,1.16,3.79
HBI,5.95,0.22,3.92
AIR,57.62,2.25,4.06
ETSY,50.42,1.89,3.89
PTCT,48.37,1.77,3.80
OLN,24.71,0.92,3.87
WSM,165.01,6.14,3.86
LAZ,45.44,1.62,3.71
DASH,189.25,6.83,3.74
HRI,142.13,5.38,3.93
RYTM,51.96,1.96,3.92
