symbol,price,price_change,price_percent_change
DM,4.52,2.25,99.12
DATS,3.78,1.62,75.0
ZYBT,8.2,2.4,41.38
FBRX,8.51,2.19,34.65
MKFG,4.3,1.02,31.1
KBSX,2.86,0.6,26.55
FUFU,5.5,1.04,23.32
ROLR,3.57,0.62,21.02
PRCH,7.96,1.1,16.03
AENT,4.4,0.59,15.49
XELB,4.35,0.5,13.08
BETR,13.95,1.57,12.68
AVTX,8.54,0.91,11.93
HMR,3.42,0.35,11.4
OM,11.67,1.18,11.25
JYD,5.4,0.52,10.66
ZJK,5.76,0.54,10.34
AEVA,5.19,0.45,9.49
CGTL,3.35,0.29,9.48
LEDS,2.35,0.2,9.4
DJT,22.87,1.86,8.85
MBLY,16.58,1.32,8.65
LXEO,4.44,0.35,8.56
EPAC,47.02,3.64,8.39
CHCI,10.03,0.76,8.2
SUPV,15.08,1.1,7.87
UFG,5.55,0.4,7.77
SKYH,12.91,0.93,7.76
CURI,3.13,0.23,7.75
SAND,7.37,0.52,7.59
NXXT,3.05,0.21,7.39
MGRM,3.05,0.21,7.39
PSIX,31.96,2.13,7.14
GDC,2.77,0.18,6.95
SPIR,9.24,0.6,6.94
SUP,2.62,0.17,6.94
TIPT,24.84,1.6,6.88
SION,12.93,0.83,6.86
PHUN,3.28,0.21,6.84
INMB,8.86,0.56,6.75
IP,56.26,3.43,6.49
NB,2.3,0.14,6.48
EXOD,56.04,3.4,6.46
RFIL,4.88,0.29,6.32
GPRK,8.23,0.48,6.19
DGNX,96.99,5.57,6.09
WGRX,4.19,0.24,6.08
MNDO,1.94,0.11,6.01
ALMS,4.0,0.23,5.96
MPTI,44.59,2.5,5.94
LSF,6.61,0.37,5.93
ACTU,7.62,0.42,5.83
POET,4.39,0.24,5.78
MASK,3.57,0.19,5.62
EGO,16.59,0.88,5.6
QNTM,5.86,0.31,5.59
PUBM,10.45,0.55,5.56
WKHS,2.31,0.12,5.48
TKC,6.21,0.32,5.43
CAPS,2.92,0.15,5.42
NN,13.44,0.68,5.33
OPRX,9.47,0.47,5.22
TBH,5.51,0.27,5.15
RAIL,6.87,0.33,5.05
LOMA,11.71,0.55,4.93
GOGO,8.62,0.4,4.87
AISP,4.75,0.22,4.86
BIYA,4.35,0.2,4.82
OXBR,2.2,0.1,4.76
XIFR,9.82,0.44,4.69
HFFG,4.36,0.2,4.68
BBAR,19.9,0.89,4.68
VSAT,11.71,0.52,4.65
AXGN,18.99,0.84,4.63
ADNT,14.59,0.63,4.51
X,43.0,1.85,4.5
TTD,62.0,2.66,4.48
PRMB,33.52,1.43,4.46
ADUS,95.01,4.03,4.43
APPF,230.33,9.73,4.41
ECX,2.87,0.12,4.36
ZENA,3.12,0.13,4.35
NGD,3.37,0.14,4.33
ETSY,47.82,1.96,4.27
BMA,84.61,3.41,4.2
EXFY,3.49,0.14,4.18
BOW,40.89,1.64,4.18
INTA,64.18,2.56,4.15
YPF,37.67,1.5,4.15
TGB,2.52,0.1,4.13
BTE,2.31,0.09,4.05
SEAT,2.86,0.11,4.0
KLTR,2.09,0.08,3.98
SAGE,8.53,0.32,3.9
CABO,264.46,9.84,3.86
AUNA,7.28,0.27,3.85
YOU,27.51,1.01,3.81
MLYS,16.78,0.61,3.77
CGAU,6.33,0.23,3.77
CVNA,221.66,8.03,3.76
