symbol,price,price_change,price_percent_change
GT,10.44,1.32,14.47
LW,59.64,5.49,10.14
VTMX,24.78,1.98,8.68
MOH,356.42,27.93,8.50
SAABY,20.99,1.47,7.51
TSCDY,13.76,0.9,7.00
DANOY,16.12,0.89,5.84
WMMVY,29.84,1.6,5.67
NGG,69.47,3.69,5.62
STNE,11.31,0.58,5.36
ORANY,13.70,0.69,5.31
CNC,63.92,3.19,5.24
ALHC,18.78,0.93,5.21
UL,62.83,2.97,4.96
DG,94.64,4.44,4.93
KR,70.34,3.07,4.56
AWK,152.95,6.76,4.62
FMS,25.88,1.15,4.65
PAGS,8.35,0.36,4.57
SBS,18.73,0.81,4.52
CCEP,91.06,3.65,4.18
UNH,544.93,21.73,4.15
BAESY,86.11,3.35,4.04
AMX,15.05,0.59,4.08
ELV,446.46,17.13,3.99
SBAC,228.16,8.82,4.02
XIACY,29.50,1.15,4.06
BTI,41.85,1.6,3.96
WTRG,40.89,1.5,3.81
PM,162.04,5.87,3.76
BKGFY,9.61,0.35,3.78
IMBBY,37.99,1.36,3.71
FSLR,134.51,4.69,3.61
XIACF,5.88,0.21,3.70
AZN,74.89,2.67,3.70
FMX,103.63,3.7,3.70
AMT,225.88,7.99,3.66
OHI,39.28,1.4,3.70
KOF,98.47,3.41,3.59
CBOE,232.69,8.21,3.66
NSRGY,105.32,3.56,3.50
VIV,9.29,0.3,3.34
CSAN,5.50,0.18,3.38
KT,17.90,0.59,3.41
ELP,7.66,0.25,3.37
EBR,7.36,0.24,3.37
CM,59.88,1.99,3.44
HLN,10.51,0.35,3.48
TIMB,16.49,0.53,3.29
MKTX,217.68,6.85,3.25
BEKE,21.10,0.67,3.28
CL,96.54,2.99,3.20
ELS,68.75,2.09,3.14
AWR,80.24,2.43,3.13
GSK,38.81,1.17,3.11
FTS,47.60,1.44,3.12
CWT,49.99,1.49,3.07
ITUB,5.70,0.17,3.16
TU,14.42,0.43,3.07
VOD,9.40,0.28,3.02
MCK,715.84,22.31,3.22
JNJ,159.89,4.53,2.92
