symbol,price,price_change,price_percent_change
CNXC,64.97,19.29,42.23
SLNO,67.49,18.52,37.82
MLGO,15.82,3.96,33.39
WOOF,3.18,0.74,30.53
BIYA,6.23,1.34,27.4
KUKE,3.04,0.6,24.59
JFIN,14.96,2.86,23.64
HTZ,4.23,0.78,22.61
IBRX,3.36,0.57,20.68
CAR,74.23,12.68,20.6
QNTM,8.27,1.32,18.99
GRO,3.53,0.48,15.74
TNON,2.8,0.38,15.7
CRVO,8.68,0.97,12.58
ASPI,4.72,0.53,12.53
CATO,3.87,0.43,12.5
NIU,4.86,0.52,11.98
JYD,6.92,0.74,11.97
ETNB,8.98,0.96,11.94
SMTK,3.42,0.36,11.93
SATL,4.2,0.45,11.87
HMR,3.53,0.37,11.84
EDAP,2.29,0.24,11.71
PHH,11.84,1.24,11.7
EPSM,5.38,0.56,11.62
FORD,4.4,0.45,11.29
DLTR,77.02,7.81,11.28
VERO,3.65,0.37,11.28
SIFY,4.74,0.47,11.12
BIOX,4.86,0.48,10.96
NVCT,9.69,0.94,10.74
MLKN,20.29,1.95,10.63
SLN,3.67,0.35,10.54
UPC,5.36,0.51,10.52
YRD,7.37,0.7,10.49
NCTY,14.51,1.36,10.34
BZFD,2.37,0.21,10.0
CLMT,13.46,1.23,10.07
MIST,2.21,0.2,9.95
ZGN,7.76,0.69,9.68
AEVA,6.36,0.56,9.57
ALMU,6.68,0.58,9.51
CGTL,4.15,0.36,9.5
RXST,26.64,2.27,9.31
DNTH,19.94,1.67,9.14
YOSH,16.2,1.35,9.09
SNBR,6.73,0.55,8.9
PESI,8.16,0.66,8.8
CAAS,5.24,0.42,8.72
LAZR,6.15,0.49,8.66
NUS,7.52,0.58,8.44
WGO,37.66,2.9,8.33
MASK,3.91,0.29,8.01
TATT,27.95,2.05,7.92
LANV,2.32,0.17,7.91
RIVN,13.04,0.94,7.77
VSTA,4.33,0.3,7.58
China,15.28,1.06,7.45
TRVG,5.07,0.35,7.42
DM,4.86,0.34,7.4
CMPR,45.39,2.98,7.03
ORIC,6.26,0.41,7.01
SKGR,12.68,0.83,7.0
XPOF,8.48,0.56,7.0
WNC,11.94,0.78,6.99
ATER,2.42,0.15,6.83
IBO,2.35,0.15,6.82
AAP,40.38,2.56,6.77
ZLAB,36.2,2.29,6.75
CCB,92.24,5.83,6.75
SCS,11.31,0.71,6.7
RZLT,2.91,0.18,6.59
FINV,10.45,0.64,6.52
MTSR,29.94,1.83,6.51
VTEX,5.18,0.32,6.48
VRA,2.4,0.14,6.44
USAR,6.12,0.37,6.43
NEOG,8.97,0.54,6.41
PROP,5.7,0.34,6.34
HAIN,4.16,0.24,6.27
TTI,3.75,0.22,6.23
HPP,3.0,0.17,6.18
ALC,96.86,5.54,6.06
GOTU,3.35,0.19,6.01
LRMR,2.38,0.14,6.0
PRM,10.62,0.6,5.99
OPRT,6.04,0.34,5.96
FUL,57.55,3.23,5.95
NUKK,15.36,0.86,5.93
LE,10.87,0.6,5.84
COYA,6.89,0.38,5.84
IQ,2.37,0.13,5.8
CURV,5.75,0.31,5.7
GPRE,5.38,0.29,5.7
DENN,4.0,0.21,5.67
TUSK,2.26,0.12,5.61
DBI,3.97,0.21,5.59
NEOV,2.46,0.13,5.58
DOMH,5.3,0.28,5.58
CING,4.37,0.23,5.56
