symbol,price,price_change,price_percent_change
SITM,149.90,33.11,28.35
RH,191.95,42.59,28.52
VFC,12.39,2.65,27.16
MCHP,44.90,9.56,27.05
ONTO,133.27,27.67,26.20
UAL,70.83,14.68,26.14
FORM,29.76,6.58,28.39
CVNA,220.35,44.03,24.97
RDDT,110.94,22.05,24.81
ENTG,78.48,15.56,24.73
MKSI,73.20,14.42,24.53
CIVI,30.27,5.96,24.52
MSTR,296.86,58.91,24.76
ARM,106.59,20.77,24.20
IONQ,26.37,5.09,23.92
AMD,96.84,18.63,23.82
HOOD,42.21,8.04,23.53
DAL,44.26,8.38,23.36
PI,77.24,14.7,23.50
MPWR,561.84,106.65,23.43
ALK,50.28,9.27,22.60
CRDO,43.27,7.97,22.58
SOUN,8.83,1.65,22.98
ALGM,23.23,4.3,22.72
W,29.57,5.43,22.49
TSLA,272.20,50.34,22.69
COHR,63.08,11.69,22.75
LSCC,46.44,8.6,22.73
ON,39.20,7.25,22.69
AAL,11.12,2.05,22.60
SNAP,8.82,1.59,22.06
SWKS,60.23,11.03,22.42
IMPUY,5.71,1.04,22.27
OLN,22.00,4.04,22.49
QRVO,62.11,11.3,22.24
RGTI,9.39,1.67,21.63
RMBS,52.29,9.4,21.90
SYNA,52.26,9.34,21.76
MRVL,60.96,10.93,21.85
AFRM,44.30,7.85,21.54
DJT,20.27,3.61,21.67
MTSI,106.59,18.95,21.62
STM,21.61,3.83,21.54
GLBE,36.07,6.27,21.04
FTAI,108.95,18.96,21.07
NXPI,185.87,32.37,21.09
PTEN,6.56,1.1,20.15
SN,78.73,13.09,19.94
SM,24.62,4.23,20.75
WRD,10.77,1.93,21.83
WBD,9.26,1.57,20.42
AMKR,17.98,3.06,20.51
NOG,24.77,4.17,20.24
LEVI,14.92,2.5,20.13
UPST,43.14,7.25,20.20
RKLB,20.59,3.41,19.85
SOFI,11.39,1.89,19.89
TTD,54.12,8.85,19.55
SYM,21.38,3.5,19.57
ALAB,64.33,10.62,19.77
LITE,59.81,9.79,19.57
AEIS,95.61,15.44,19.26
CAMT,62.41,10.09,19.29
CLS,82.10,13.25,19.24
APA,16.71,2.68,19.10
U,19.98,3.23,19.25
RNECY,5.80,0.91,18.61
ALB,60.48,9.72,19.15
GFS,36.18,5.81,19.13
PLTR,92.01,14.69,19.00
ASTS,24.14,3.84,18.92
MU,77.87,12.33,18.81
OKLO,24.06,3.83,18.93
SHOP,91.40,14.31,18.56
NVDA,114.33,18.03,18.72
INTC,21.53,3.4,18.75
ST,20.88,3.18,17.99
FUN,33.57,5.28,18.66
ADI,196.63,30.54,18.39
LMND,29.70,4.58,18.23
M,11.86,1.84,18.41
AVGO,185.15,29.12,18.66
BRPHF,10.94,1.7,18.40
CUK,17.70,2.75,18.39
STLA,10.10,1.57,18.44
PENN,16.28,2.53,18.40
MUR,23.17,3.55,18.12
DOCN,30.75,4.84,18.68
XIACF,5.60,0.85,17.89
NCLH,18.41,2.87,18.47
EXPE,161.68,25.05,18.33
STRL,134.53,20.7,18.19
LRCX,71.11,10.86,18.02
ASAN,16.27,2.48,17.98
BBWI,30.02,4.51,17.68
PTON,5.87,0.87,17.40
WEX,133.02,19.55,17.23
TEM,43.79,6.56,17.62
MDB,171.34,25.49,17.48
VIK,41.67,6.16,17.35
CAR,73.92,11.06,17.59
ANGPY,5.88,0.87,17.54
CCL,19.62,2.93,17.56
RUM,8.15,1.21,17.51
TRU,80.97,11.71,16.91
JOBY,6.26,0.93,17.34
KLAC,703.31,103.8,17.31
CZR,27.57,4.06,17.27
MBLY,15.14,2.19,16.91
OLED,125.17,18.57,17.42
WFRD,45.93,6.76,17.26
TKAMY,10.30,1.51,17.18
CAVA,92.13,13.67,17.42
KKR,110.51,16.0,16.93
ASO,39.91,5.81,17.04
CE,43.89,6.4,17.07
MEOH,30.29,4.42,17.09
PVH,70.69,10.19,16.84
MARA,12.31,1.79,17.02
COIN,177.09,25.62,16.91
NBIS,23.46,3.4,16.95
RNLSY,10.25,1.48,16.88
RBRK,61.72,8.91,16.87
UNCRY,26.84,3.87,16.85
TER,79.44,11.48,16.89
AEO,11.24,1.6,16.53
FMCC,4.9700,0.67,15.58
SMNEY,61.69,8.83,16.61
URBN,50.45,7.21,16.67
APO,128.41,18.0,16.30
SG,22.75,3.3,16.97
VAC,59.27,8.41,16.54
CEG,215.45,30.51,16.50
CRUS,90.23,12.8,16.53
ATS,24.65,3.58,16.99
DJTWW,12.47,1.57,14.40
SIG,59.08,8.31,16.36
RCL,209.68,29.49,16.38
NABZY,10.85,1.52,16.29
IVPAF,8.64,1.21,16.29
HUN,14.24,1.99,16.24
CRS,175.15,23.85,15.76
MOD,83.54,11.72,16.32
APP,274.96,39.68,16.87
IBKR,170.72,23.7,16.12
AMAT,149.73,20.77,16.11
BILL,43.92,6.11,16.16
APO-PA,69.31,9.63,16.14
CRWD,378.01,52.97,16.30
AI,21.16,2.92,16.01
DELL,84.13,11.54,15.90
MGM,29.97,4.18,16.21
CFLT,22.86,3.18,16.16
HLNE,147.08,20.43,16.13
WCC,153.36,20.5,15.43
TXN,169.50,23.49,16.09
ACHR,7.41,1.01,15.78
SMCI,36.71,5.0,15.77
DVN,31.08,4.28,15.97
MTDR,42.47,5.8,15.82
FN,201.60,27.58,15.85
ATI,48.65,6.68,15.92
HPE,14.50,1.99,15.91
AUR,6.55,0.89,15.72
CHRD,94.99,12.96,15.80
SMTC,29.98,4.12,15.93
GAP,20.26,2.78,15.94
SAIA,374.80,51.73,16.01
CDE,5.57,0.76,15.80
LIF,36.61,4.99,15.78
ONON,45.03,6.12,15.73
DOW,29.82,4.01,15.54
ROKU,63.86,8.76,15.90
ARES,142.27,19.06,15.47
CLF,7.95,1.09,15.89
IPGP,57.47,7.79,15.68
SHAK,87.67,11.82,15.58
EVR,189.45,25.68,15.68
TPG,45.87,6.19,15.60
S,18.84,2.56,15.72
MNDY,252.00,33.68,15.43
FCX,33.72,4.51,15.44
RXO,14.98,2.04,15.77
VST,117.98,15.79,15.45
MANH,166.26,22.36,15.54
DFS,170.89,22.68,15.33
IOT,39.46,5.3,15.52
VKTX,23.10,3.12,15.62
SHC,11.32,1.52,15.51
OVV,35.96,4.78,15.33
BA,160.77,21.38,15.34
NET,112.54,15.09,15.48
VRT,72.90,10.0,15.90
ASML,687.26,91.89,15.43
PSTG,44.68,5.99,15.48
LUV,28.53,3.78,15.27
DKS,198.03,26.83,15.67
SWK,64.31,8.45,15.13
TECK,33.38,4.33,14.92
SYF,50.44,6.61,15.09
