symbol,price,price_change,price_percent_change
WRD,9.80,0.96,10.86
IMPUY,5.16,0.49,10.49
SMPL,36.44,3.26,9.81
HMY,14.15,1.18,9.10
XIACY,26.30,2.2,9.13
DJTWW,11.84,0.94,8.62
IAG,6.30,0.49,8.35
TKAMY,9.51,0.72,8.03
ONTO,113.35,7.75,7.34
CDE,5.17,0.36,7.48
ANGPY,5.38,0.37,7.40
DJT,17.83,1.17,7.02
EGO,16.66,1.03,6.59
AU,35.36,2.2,6.63
OLN,19.09,1.13,6.29
MPNGY,36.20,2.2,6.47
TFPM,19.53,1.18,6.46
KGC,12.64,0.68,5.64
DAL,38.03,2.15,6.01
GFI,21.20,1.16,5.81
AGI,25.91,1.41,5.73
INTC,19.15,1.02,5.64
AVAV,127.68,6.65,5.49
GT,8.91,0.43,5.07
ORLA,8.70,0.41,4.95
ARM,89.98,4.16,4.84
BVN,13.60,0.66,5.05
PAAS,22.80,1.08,4.97
CAMT,54.88,2.56,4.89
LYFT,10.43,0.45,4.56
CAR,65.53,2.67,4.25
TSLA,232.26,10.4,4.69
WK,64.65,2.74,4.43
RKLB,17.87,0.69,4.02
MTSI,91.60,3.96,4.52
NEM,47.03,2.07,4.60
AMD,81.76,3.56,4.55
SWKS,51.45,2.25,4.57
ZTO,17.24,0.73,4.39
CIVI,25.34,1.03,4.26
WMT,85.44,3.65,4.46
EONGY,15.55,0.67,4.50
CELH,35.27,1.38,4.07
ARLP,27.02,1.16,4.48
MSTR,248.73,10.78,4.53
GFS,31.71,1.34,4.41
CACI,403.79,17.09,4.42
NABZY,9.80,0.47,5.04
DV,12.36,0.5,4.22
FUN,29.58,1.29,4.59
LOAR,78.71,3.42,4.54
GOLD,18.26,0.74,4.25
STVN,19.36,0.79,4.25
AAPL,179.35,6.93,4.02
AEM,104.34,4.21,4.20
TGOPY,23.20,0.93,4.18
STM,18.49,0.71,3.99
BILI,15.48,0.6,4.07
PRKS,40.00,1.49,3.87
STRL,118.07,4.24,3.72
SVNDY,13.20,0.51,4.02
ANGI,12.45,0.48,4.01
PBCRY,11.75,0.45,3.98
RGLD,161.44,5.96,3.83
ON,33.01,1.06,3.32
TER,70.52,2.56,3.77
ASML,617.47,22.1,3.71
SHC,10.15,0.35,3.62
LHX,207.98,7.23,3.60
QRVO,52.54,1.73,3.40
KC,11.88,0.41,3.62
MT,24.23,0.76,3.22
AUOTY,5.02,0.17,3.51
CRWD,336.14,11.1,3.42
YOU,24.69,0.73,3.05
TLX,14.80,0.49,3.45
BF-B,32.53,1.08,3.42
EQX,5.88,0.19,3.34
WPM,72.83,2.28,3.22
MNSO,14.80,0.48,3.39
INFA,16.38,0.52,3.28
HKXCY,37.82,1.22,3.33
OR,19.86,0.62,3.22
LEVI,12.83,0.41,3.30
CNK,26.22,0.77,3.03
FNV,147.69,4.65,3.25
FTAI,92.63,2.64,2.93
MANU,12.61,0.4,3.28
NVDA,99.24,2.94,3.05
ORANY,13.12,0.41,3.23
WMK,79.17,2.68,3.51
PVH,62.32,1.82,3.01
ELF,52.49,1.49,2.91
BF-A,32.24,0.93,2.97
UNF,166.92,5.06,3.13
AVGO,160.26,4.23,2.71
IPGP,51.23,1.55,3.12
RNECY,5.06,0.17,3.48
EXAS,41.49,1.18,2.93
PSN,61.21,1.85,3.11
SIG,52.30,1.53,3.01
SAND,7.03,0.2,3.01
