symbol,price,price_change,price_percent_change
TIVC,4.8,1.55,47.69
ICCT,2.49,0.42,20.29
TCRT,3.25,0.45,16.07
SKBL,10.9,0.54,5.21
AZN,75.45,3.23,4.47
GSK,39.06,1.42,3.77
VOD,9.46,0.34,3.67
BBD,2.3,0.08,3.53
BTI,41.48,1.23,3.06
ABEV,2.43,0.07,2.96
CCEP,89.51,2.1,2.4
MDLZ,67.6,1.47,2.22
PEP,152.4,3.27,2.2
AEP,110.11,2.36,2.19
CPB,39.83,0.82,2.12
MO,58.32,1.2,2.09
KR,68.68,1.41,2.09
VZ,45.55,0.81,1.81
KO,72.59,1.26,1.77
KHC,30.63,0.5,1.66
EXC,46.72,0.75,1.63
TMUS,268.41,3.85,1.46
BLND,3.57,0.05,1.42
GILD,113.39,1.5,1.34
CME,266.0,3.46,1.32
OHI,38.24,0.36,0.95
RKT,13.98,0.12,0.87
KDP,35.43,0.29,0.83
CP,72.89,0.43,0.59
NVO,68.33,0.09,0.13
TSCO,55.66,0.04,0.07
FSLR,129.79,-0.03,-0.02
SWI,18.42,-0.01,-0.03
BECN,123.76,-0.04,-0.03
PFE,24.68,-0.01,-0.06
ERIC,7.78,-0.01,-0.13
CMCSA,36.56,-0.05,-0.14
XP,13.96,-0.07,-0.53
FAST,77.57,-0.44,-0.56
MNST,59.02,-0.34,-0.57
TTEK,30.63,-0.2,-0.63
CKPT,4.01,-0.03,-0.74
RDFN,10.16,-0.08,-0.78
WBA,11.09,-0.09,-0.79
ALHC,17.68,-0.17,-0.98
XPEV,20.9,-0.22,-1.04
INTC,21.75,-0.23,-1.05
PARA,11.77,-0.13,-1.09
EBAY,66.58,-0.84,-1.25
GT,9.0,-0.12,-1.32
VTRS,8.54,-0.13,-1.44
FSK,20.98,-0.31,-1.46
STNE,10.56,-0.17,-1.58
NLY,19.8,-0.32,-1.59
VALE,9.93,-0.17,-1.64
MPW,5.81,-0.1,-1.7
WEN,14.4,-0.26,-1.74
CX,5.59,-0.1,-1.76
TEVA,15.02,-0.27,-1.77
AGNC,9.3,-0.18,-1.9
ORC,7.09,-0.14,-1.96
MSFT,373.93,-8.21,-2.15
CCCS,8.63,-0.2,-2.27
CPRT,56.14,-1.33,-2.31
GOGL,8.2,-0.2,-2.32
WY,28.79,-0.69,-2.34
YUMC,52.02,-1.26,-2.37
COST,942.07,-23.01,-2.38
ARCC,21.86,-0.55,-2.43
ROST,129.12,-3.25,-2.46
HTZ,3.95,-0.1,-2.47
ETSY,49.15,-1.27,-2.52
BILI,18.84,-0.49,-2.56
TCOM,61.91,-1.67,-2.63
WMT,87.38,-2.38,-2.65
TXN,173.4,-4.79,-2.69
AES,12.14,-0.34,-2.72
PSEC,3.93,-0.11,-2.73
IQ,2.13,-0.06,-2.74
CSCO,59.72,-1.7,-2.76
CNQ,30.56,-0.88,-2.8
LI,24.8,-0.71,-2.8
ILMN,79.56,-2.33,-2.84
NFLX,908.94,-26.57,-2.84
PBR,13.98,-0.41,-2.85
IBRX,2.96,-0.09,-2.95
AQST,2.95,-0.09,-2.96
YMM,12.62,-0.39,-3.0
ADBE,373.99,-11.79,-3.06
ZI,9.51,-0.3,-3.06
EQX,6.4,-0.2,-3.11
CSX,28.81,-0.93,-3.13
STLA,10.91,-0.36,-3.19
ARDX,4.72,-0.16,-3.28
XERS,4.98,-0.17,-3.3
GOOGL,151.82,-5.21,-3.32
BIDU,88.85,-3.08,-3.35
JD,39.71,-1.38,-3.36
NOK,5.17,-0.18,-3.37
GOOG,153.48,-5.38,-3.39
