symbol,price,price_change,price_percent_change
MLGO,20.88,2.43,13.17
ONON,40.77,3.12,8.29
IBP,175.49,11.71,7.15
COLM,71.73,4.54,6.76
GAP,19.02,1.18,6.61
BLD,302.18,17.96,6.32
SKX,51.85,2.9,5.91
DHI,129.73,7.42,6.07
CROX,101.37,5.4,5.63
NVR,7,415.52,5.84
DFH,22.49,1.18,5.54
GME,22.22,1.12,5.29
NKE,58.50,2.92,5.25
DECK,105.83,4.95,4.90
ANF,73.82,3.56,5.07
URBN,47.42,2.18,4.82
AEO,10.90,0.47,4.45
CCS,65.88,2.95,4.69
MHO,113.99,4.89,4.48
KDDIY,16.09,0.69,4.48
LEN-B,106.86,4.46,4.36
PHM,101.67,3.92,4.01
RKT,14.40,0.55,3.97
PCVX,31.95,1.39,4.56
LEN,112.83,4.43,4.09
GRBK,57.97,2.08,3.71
TOL,101.87,3.48,3.54
TPH,31.76,1.1,3.59
MTH,68.96,2.35,3.53
KBH,57.51,1.9,3.41
W,25.92,0.83,3.29
DLTR,69.42,2.2,3.27
TMHC,59.50,1.91,3.31
LULU,262.50,6.85,2.68
