symbol,price,price_change,price_percent_change
VERO,8.89,5.97,204.45
AEHL,4.44,2.26,103.61
BLIV,6.07,2.97,95.81
HUBC,3.46,1.0,40.85
TIVC,4.88,1.26,35.04
FWRD,13.9,3.4,32.33
CPRI,16.39,3.9,31.29
KRUS,54.43,12.97,31.28
BALY,15.53,3.64,30.61
AAOI,13.86,3.16,29.53
RDW,9.97,2.26,29.31
AEHR,8.76,1.98,29.2
SITM,149.5,32.7,28.0
AOSL,22.82,4.96,27.74
RH,190.96,41.6,27.85
LOVE,15.9,3.43,27.51
ISPR,4.08,0.88,27.5
SAIH,4.52,0.97,27.32
NDRA,5.08,1.09,27.32
VFC,12.4,2.65,27.26
APPS,2.8,0.6,27.27
MCHP,44.74,9.39,26.58
ONTO,133.63,28.03,26.54
ESTA,34.52,7.21,26.4
DXF,8.1,1.68,26.17
UAL,70.82,14.67,26.13
FORM,29.14,5.96,25.71
GES,10.88,2.23,25.69
KSS,7.76,1.58,25.65
SEZL,38.19,7.77,25.54
CVNA,221.01,44.69,25.35
ICHR,20.86,4.2,25.16
WLDS,2.65,0.53,24.98
ENTG,78.58,15.66,24.9
RDDT,110.91,22.02,24.77
MKSI,73.28,14.5,24.67
LGPS,4.5,0.89,24.65
CIVI,30.29,5.98,24.6
ULCC,4.1,0.8,24.24
ARM,106.62,20.8,24.24
CC,11.88,2.31,24.06
TKNO,5.76,1.11,24.03
HOOD,42.38,8.21,24.01
IONQ,26.37,5.09,23.93
MSTR,294.87,56.92,23.92
AMD,96.85,18.64,23.83
EP,6.14,1.18,23.79
DAL,44.34,8.46,23.59
PI,77.11,14.57,23.3
MPWR,561.04,105.85,23.25
WWW,12.4,2.33,23.19
ALK,50.51,9.5,23.17
NFE,6.68,1.25,23.15
AEVA,7.28,1.36,23.1
ALGM,23.3,4.37,23.06
W,29.7,5.56,23.03
NGNE,9.02,1.69,22.96
OLN,22.08,4.12,22.91
SOUN,8.83,1.65,22.98
STIM,4.08,0.76,22.89
CRDO,43.38,8.08,22.89
JZXN,4.78,0.89,22.88
MXL,11.24,2.09,22.84
TSLA,272.47,50.61,22.81
LSCC,46.46,8.62,22.78
COHR,63.1,11.71,22.79
AAL,11.13,2.06,22.71
SKYT,7.17,1.32,22.56
SNAP,8.86,1.63,22.54
ACDC,5.28,0.97,22.51
ON,39.15,7.2,22.52
SWKS,60.22,11.02,22.39
UCTT,21.81,3.97,22.25
QRVO,62.11,11.3,22.24
VSH,12.92,2.35,22.19
XPRO,8.43,1.52,22.0
BKKT,8.54,1.54,22.0
PEB,9.41,1.7,22.05
RMBS,52.29,9.39,21.9
MRVL,60.96,10.94,21.86
LICN,3.68,0.66,21.85
NUTX,103.4,18.46,21.73
DJT,20.28,3.62,21.73
ENVX,6.64,1.19,21.7
RGTI,9.4,1.68,21.7
MTSI,106.58,18.93,21.61
AFRM,44.32,7.87,21.59
GDTC,2.76,0.49,21.59
SYNA,52.16,9.24,21.53
BBNX,11.8,2.09,21.52
TXG,8.68,1.53,21.5
STM,21.6,3.81,21.46
PPIH,11.21,1.98,21.45
SNCY,11.64,2.06,21.45
KRNT,19.26,3.45,21.82
VET,6.59,1.16,21.34
GLBE,36.14,6.33,21.26
FTAI,108.96,18.97,21.08
MGNI,10.89,1.89,21.0
VEEE,4.09,0.71,20.93
