symbol,price,price_change,price_percent_change
TTEC,4.99,1.72,52.6
CRVO,13.58,3.6,36.07
ALMS,9.84,2.6,35.91
TCRT,2.8,0.64,29.63
TIVC,3.25,0.73,28.97
CGNT,9.95,1.73,21.05
BNGO,3.75,0.65,20.97
VPG,28.26,4.75,20.2
HUBC,3.62,0.61,20.17
HURA,3.48,0.57,19.59
SLN,2.89,0.47,19.42
DBVT,7.7,1.24,19.2
NOTV,2.87,0.46,19.09
MCRP,3.45,0.55,18.97
NAMI,2.95,0.45,18.0
ZSPC,8.78,1.32,17.69
MYNZ,3.44,0.51,17.41
CRWV,61.36,8.79,16.72
GPUS,2.7,0.39,16.63
SION,11.83,1.67,16.44
CLNN,3.0,0.42,16.28
RCAT,7.42,1.03,16.12
VMAR,5.07,0.68,15.39
MNPR,38.53,5.1,15.26
AUID,5.52,0.73,15.24
KPTI,4.06,0.52,14.69
GLTO,3.23,0.41,14.54
JUNE,10.81,1.36,14.39
PVLA,26.97,3.38,14.33
TELO,3.13,0.39,14.23
AMLX,3.78,0.44,13.17
NFE,8.57,0.99,13.06
BKKT,10.26,1.18,13.0
WOOF,3.34,0.38,12.84
AARD,9.35,1.06,12.79
SYTA,2.39,0.27,12.74
XGN,4.43,0.5,12.72
XYF,16.0,1.8,12.68
ANGO,10.86,1.2,12.42
PHH,13.25,1.46,12.38
OCUL,7.34,0.8,12.23
YOSH,16.43,1.74,11.84
DNLI,13.74,1.45,11.8
AUUD,4.32,0.45,11.63
ACON,12.61,1.3,11.49
OM,12.15,1.24,11.37
RNA,29.77,3.03,11.33
ADVM,4.26,0.43,11.23
LUNR,8.3,0.83,11.18
SWTX,46.52,4.64,11.08
BOF,2.41,0.24,11.06
ZBIO,8.43,0.83,10.92
ARQT,16.6,1.62,10.81
ACLX,67.23,6.53,10.76
CMPS,3.09,0.3,10.75
IDYA,16.35,1.58,10.7
IVDA,2.59,0.25,10.68
ADTX,5.0,0.48,10.62
GYRE,7.09,0.68,10.61
SMC,36.75,3.5,10.53
PAL,9.05,0.86,10.5
AMTM,19.71,1.84,10.3
ALAR,7.0,0.64,10.06
RKT,13.85,1.25,9.92
FDMT,3.28,0.29,9.7
NTLA,7.3,0.65,9.69
LEDS,2.66,0.23,9.47
SEPN,5.5,0.47,9.46
LGHL,3.5,0.3,9.38
MREO,2.37,0.2,9.22
SLRN,2.74,0.23,9.16
NUKK,13.89,1.16,9.11
USAR,6.85,0.57,9.08
EBS,5.17,0.43,9.07
ALGT,55.45,4.6,9.05
IOVA,3.54,0.29,8.92
HTZ,4.05,0.33,8.87
MRX,38.84,3.16,8.86
CANG,4.19,0.34,8.83
SMMT,20.46,1.66,8.83
KRRO,17.34,1.39,8.71
RGTI,8.49,0.68,8.71
NRIX,11.38,0.91,8.69
OBIO,3.52,0.28,8.64
ZVIA,2.39,0.19,8.64
MRUS,43.01,3.41,8.61
AKRO,41.95,3.31,8.57
AIFF,4.11,0.32,8.44
RCKT,6.3,0.49,8.43
TRAW,2.32,0.18,8.41
NGNE,10.46,0.81,8.34
ELAB,4.69,0.36,8.31
DTI,2.48,0.19,8.3
SRRK,32.54,2.48,8.25
KLC,12.79,0.97,8.21
SBFM,2.25,0.17,8.17
ARCT,10.2,0.77,8.17
SONM,3.2,0.24,8.11
SEI,22.89,1.71,8.07
PCT,7.38,0.55,8.05
