symbol,price,price_change,price_percent_change
RGTI,8.67,0.86,11.01
AMTM,19.81,1.93,10.83
CYTK,41.55,4.05,10.80
RNA,29.49,2.75,10.26
NFE,8.35,0.77,10.23
IONQ,25.53,2.34,10.09
RKT,13.80,1.19,9.48
TGTX,41.19,3.44,9.10
CACI,401.17,31.27,8.45
SOUN,8.91,0.71,8.65
SWTX,45.40,3.52,8.40
ACLX,65.56,4.86,8.01
SLNO,73.33,5.07,7.43
COHR,68.71,5.01,7.86
COOP,134.27,9.19,7.34
LITE,68.44,4.85,7.63
PSN,63.92,4.36,7.32
LOAR,76.44,5.11,7.16
VKTX,25.59,1.68,7.05
CIEN,65.94,4.4,7.15
CVNA,227.22,14.63,6.88
BAH,114.52,7.16,6.67
MRX,38.22,2.54,7.12
UWMC,5.70,0.36,6.64
KBR,53.09,3.16,6.33
FIVE,81.48,5.0,6.54
IMVT,16.17,0.97,6.38
AUR,7.16,0.43,6.46
SYM,22.23,1.33,6.35
ACVA,15.41,0.94,6.50
RKLB,19.32,1.17,6.45
CLF,8.59,0.49,6.05
CRDO,44.26,2.54,6.10
GRFS,7.38,0.42,6.03
NBIS,24.06,1.37,6.04
TMDX,72.25,3.98,5.83
ASTS,23.12,1.27,5.81
SHAK,96.24,5.24,5.76
MOD,85.04,4.78,5.96
CZR,26.22,1.39,5.60
GDS,26.56,1.35,5.36
IESC,178.32,9.46,5.61
CLS,83.40,4.34,5.49
TSLA,283.00,14.54,5.42
GAP,22.34,1.12,5.30
LDOS,141.90,6.93,5.14
KTOS,30.81,1.51,5.15
AFRM,47.92,2.41,5.29
RBRK,63.55,3.08,5.09
RRX,120.75,6.03,5.26
UI,326.86,15.89,5.11
XENE,32.18,1.54,5.03
MARA,12.47,0.62,5.28
LKNCY,37.51,1.87,5.26
MLTX,38.03,1.68,4.61
AKRO,40.48,1.84,4.76
ACHR,7.31,0.35,5.03
RH,250.88,11.82,4.94
MRUS,41.53,1.93,4.87
RIOT,7.92,0.38,5.04
AS,28.10,1.29,4.81
HBI,6.01,0.28,4.80
ALAB,65.00,2.99,4.82
RUM,8.08,0.38,4.92
LNW,92.04,4.17,4.74
ILMN,82.08,3.69,4.71
ANF,82.56,3.79,4.81
SATS,26.36,1.17,4.64
GEV,330.51,14.87,4.71
EQH,54.76,2.47,4.72
SAIA,371.01,16.24,4.58
SMTC,36.56,1.7,4.89
TEX,39.78,1.72,4.50
APGE,37.21,1.6,4.49
U,21.08,0.89,4.43
ZETA,14.65,0.62,4.46
ELF,67.12,2.87,4.47
SN,87.88,3.68,4.37
KC,14.47,0.61,4.40
MMS,71.51,2.83,4.12
POWL,183.49,7.6,4.32
MDGL,339.42,15.44,4.77
SAIC,118.17,4.86,4.29
SMG,57.16,2.39,4.37
LYFT,12.80,0.57,4.66
IONS,28.41,1.15,4.20
DASH,190.56,8.14,4.46
PI,92.06,3.66,4.14
CLBT,20.03,0.78,4.05
DKNG,34.59,1.4,4.22
TEM,49.19,1.97,4.17
UAA,6.61,0.26,4.09
AIR,57.50,2.13,3.85
LEGN,32.74,1.22,3.87
BHVN,23.49,0.89,3.94
SRRK,31.27,1.22,4.04
MBLY,15.05,0.56,3.83
RXRX,5.31,0.21,4.20
UPST,47.77,1.77,3.85
FIX,343.21,13.21,4.00
AVAV,126.50,4.71,3.87
DECK,117.81,4.46,3.93
VST,127.12,4.89,4.00
APP,293.67,10.96,3.88
W,33.21,1.27,3.96
MIR,14.92,0.57,3.98
PLTR,88.10,3.42,4.03
CELH,37.09,1.36,3.81
NVMI,191.83,6.93,3.75
CRK,21.15,0.8,3.93
PFSI,103.74,3.73,3.73
SMMT,19.52,0.72,3.83
SPOT,573.02,21.29,3.86
COIN,181.37,6.85,3.93
ETSY,50.33,1.8,3.71
FN,204.23,7.21,3.66
WSC,28.48,1.0,3.64
WSM,164.61,5.74,3.61
TTEK,30.63,1.08,3.65
UA,6.33,0.23,3.77
PRKS,47.17,1.64,3.59
NRG,102.14,3.61,3.66
CG,45.91,1.64,3.70
SOFI,12.35,0.44,3.69
INSP,163.61,5.63,3.56
ROAD,75.83,2.6,3.55
CRSP,34.35,1.21,3.65
FROG,33.54,1.14,3.52
AAON,82.00,2.84,3.59
DOCN,35.03,1.24,3.65
WPP,37.49,1.27,3.51
CLSK,7.84,0.28,3.77
KMX,81.68,2.8,3.54
WGS,87.90,3.31,3.91
DELL,95.25,3.29,3.58
DLTR,78.02,2.68,3.56
FLUT,230.76,7.94,3.57
WCC,161.85,5.43,3.47
ATGE,105.50,3.53,3.47
