symbol,price,price_change,price_percent_change
AREB,9.31,3.73,66.84
JNVR,42.82,15.44,56.39
BNGO,3.94,0.86,27.92
WHLR,2.89,0.52,21.94
RDHL,3.22,0.52,19.26
ICCT,4.38,0.69,18.7
JUNE,9.8,1.48,17.85
GNFT,3.1,0.39,14.18
KROS,11.79,1.46,14.13
SXTP,2.85,0.35,14.0
RYET,4.8,0.56,13.21
CLIK,3.1,0.36,13.14
USAU,9.56,0.98,11.42
SOBR,5.52,0.55,11.07
SBC,3.5,0.33,10.41
UAMY,2.47,0.23,10.27
YSXT,3.48,0.32,10.13
TCRT,2.81,0.24,9.34
NEOG,5.46,0.43,8.67
BJDX,2.69,0.21,8.64
ADTX,3.24,0.24,8.03
SKE,9.97,0.71,7.67
HMY,15.79,1.1,7.49
VGAS,3.5,0.24,7.36
SMMT,19.5,1.27,6.97
DRD,15.13,0.96,6.77
GFI,23.0,1.46,6.75
USAR,7.86,0.49,6.65
WKSP,3.33,0.19,6.05
SCNI,2.38,0.14,6.0
CDTG,2.36,0.13,5.83
JZXN,5.03,0.26,5.45
LOVE,16.75,0.82,5.15
JAGX,5.3,0.26,5.05
PSMT,90.04,4.25,4.95
GDS,20.38,0.94,4.86
ALHC,19.43,0.89,4.8
ARQQ,14.06,0.63,4.69
AU,38.01,1.58,4.35
VOXR,2.89,0.12,4.33
ORLA,9.68,0.4,4.31
AGL,5.4,0.22,4.25
Cayman,2.18,0.09,4.05
AEM,110.0,4.2,3.97
CJMB,4.05,0.15,3.85
IAG,6.76,0.25,3.84
AGI,27.55,1.01,3.81
ACT,34.58,1.22,3.64
TAL,9.99,0.34,3.58
BYRN,17.17,0.59,3.56
FSM,5.95,0.2,3.48
FNV,155.33,5.11,3.4
KGC,13.46,0.43,3.34
RGLD,170.0,5.46,3.32
WYY,2.82,0.09,3.32
HRTG,15.65,0.49,3.23
TFPM,20.51,0.64,3.21
SAND,7.46,0.23,3.18
RAY,2.28,0.07,3.17
WPM,76.86,2.24,3.0
EGO,17.6,0.51,2.98
NEOV,2.19,0.06,2.87
EQX,6.42,0.17,2.8
BTG,2.98,0.08,2.76
NGD,3.33,0.09,2.76
OR,20.97,0.56,2.74
DNA,6.96,0.18,2.73
NUTX,106.55,2.76,2.66
TDUP,3.23,0.08,2.54
QFIN,37.68,0.9,2.43
RAIN,2.41,0.06,2.34
CYD,14.34,0.32,2.28
NEM,49.83,1.08,2.22
BLTE,56.31,1.21,2.2
BJ,115.57,2.47,2.18
OLLI,112.4,2.37,2.15
YALA,5.28,0.11,2.13
MTA,2.96,0.06,2.07
IDR,16.07,0.32,2.03
ASPI,5.09,0.1,2.01
SKBL,12.68,0.23,1.85
CNL,9.39,0.17,1.84
CGAU,6.13,0.11,1.83
NG,2.56,0.04,1.79
LIPO,2.3,0.04,1.77
CGTL,5.19,0.09,1.76
OLMA,3.2,0.06,1.75
ZH,3.61,0.06,1.67
API,3.05,0.05,1.67
SPRU,2.13,0.04,1.67
ARMN,4.96,0.08,1.64
MAMO,2.49,0.04,1.63
AVTE,2.53,0.04,1.61
ORKA,7.28,0.12,1.6
PPTA,10.99,0.17,1.57
CTGO,10.37,0.16,1.57
ONC,209.51,3.19,1.55
JD,35.6,0.52,1.49
KR,66.78,0.95,1.44
JXG,2.2,0.03,1.38
